date,locality,site,bar,station,tran_length,elev_m
5/25/2010,HB,O,1,HBO1,15,-0.525
5/25/2010,HB,O,1,HBO1,17.5,-0.525
5/25/2010,HB,O,1,HBO1,20,-0.525
5/25/2010,HB,O,1,HBO1,12.5,-0.545
5/25/2010,HB,O,1,HBO1,31.2,-0.545
5/25/2010,HB,O,1,HBO1,10,-0.555
5/25/2010,HB,O,1,HBO1,7.5,-0.605
5/25/2010,HB,O,1,HBO1,5,-0.745
5/25/2010,HB,O,1,HBO1,2.5,-0.855
5/25/2010,HB,O,1,HBO1,22.5,-0.855
5/25/2010,HB,O,1,HBO1,27.5,-0.605
5/25/2010,HB,O,1,HBO1,25,-0.745
5/25/2010,HB,O,1,HBO1,30,-0.555
5/25/2010,HB,O,2,HBO2,2.5,
5/25/2010,HB,O,2,HBO2,5,
5/25/2010,HB,O,2,HBO2,7.5,
5/25/2010,HB,O,2,HBO2,10,
5/25/2010,HB,O,2,HBO2,12.5,
5/25/2010,HB,O,2,HBO2,15,
5/25/2010,HB,O,2,HBO2,15.6,
5/25/2010,HB,O,3,HBO3,2.5,
5/25/2010,HB,O,3,HBO3,5,
5/25/2010,HB,O,3,HBO3,7.5,
5/25/2010,HB,O,3,HBO3,10,
5/25/2010,HB,O,3,HBO3,12.5,
5/25/2010,HB,O,3,HBO3,15,
5/25/2010,HB,O,3,HBO3,17.5,
5/25/2010,HB,O,3,HBO3,20,
5/25/2010,HB,O,3,HBO3,22.5,
5/25/2010,HB,O,3,HBO3,25,
5/25/2010,HB,O,3,HBO3,27.5,
5/25/2010,HB,O,3,HBO3,30,
5/25/2010,HB,O,3,HBO3,32.5,
5/25/2010,HB,O,3,HBO3,35,
5/25/2010,HB,O,3,HBO3,37.5,
5/25/2010,HB,O,3,HBO3,40,
5/25/2010,HB,O,3,HBO3,42.5,
5/25/2010,HB,O,3,HBO3,45,
5/25/2010,HB,O,3,HBO3,47.5,
5/25/2010,HB,O,3,HBO3,50,
5/25/2010,LC,N,2,LCN2,7.5,0.196
5/25/2010,LC,N,2,LCN2,2.5,0.071
5/25/2010,LC,N,2,LCN2,5,0.106
5/25/2010,LC,N,2,LCN2,17.7,0.106
5/25/2010,LC,N,2,LCN2,10,0.226
5/25/2010,LC,N,2,LCN2,15,0.266
5/25/2010,LC,N,2,LCN2,12.5,0.236
5/26/2010,LC,I,1,LCI1,20,-0.115
5/26/2010,LC,I,1,LCI1,2.5,-0.165
5/26/2010,LC,I,1,LCI1,17.5,0.18
5/26/2010,LC,I,1,LCI1,15,0.245
5/26/2010,LC,I,1,LCI1,10,0.225
5/26/2010,LC,I,1,LCI1,12.5,0.235
5/26/2010,LC,I,1,LCI1,7.5,0.195
5/26/2010,LC,I,1,LCI1,5,0.07
5/26/2010,LC,I,2,LCI2,20.29,-0.087
5/26/2010,LC,I,2,LCI2,20,-0.087
5/26/2010,LC,I,2,LCI2,17.5,0.033
5/26/2010,LC,I,2,LCI2,2.5,-0.147
5/26/2010,LC,I,2,LCI2,7.5,0.123
5/26/2010,LC,I,2,LCI2,12.5,0.103
5/26/2010,LC,I,2,LCI2,15,0.063
5/26/2010,LC,I,2,LCI2,10,0.123
5/26/2010,LC,I,2,LCI2,5,0.073
5/26/2010,LC,I,3,LCI3,20,0.109
5/26/2010,LC,I,3,LCI3,12.5,0.439
5/26/2010,LC,I,3,LCI3,5,0.389
5/26/2010,LC,I,3,LCI3,10,0.439
5/26/2010,LC,I,3,LCI3,2.5,0.129
5/26/2010,LC,I,3,LCI3,7.5,0.469
5/26/2010,LC,I,3,LCI3,15,0.419
5/26/2010,LC,I,3,LCI3,17.5,0.309
5/26/2010,LC,N,1,LCN1,10,0.062
5/26/2010,LC,N,1,LCN1,5,-0.023
5/26/2010,LC,N,1,LCN1,7.5,-0.003
5/26/2010,LC,N,1,LCN1,12.3,0.062
5/26/2010,LC,N,1,LCN1,2.5,-0.093
5/26/2010,LC,N,3,LCN3,30,-0.52
5/26/2010,LC,N,3,LCN3,32.6,-0.6
5/26/2010,LC,N,3,LCN3,15,-0.08
5/26/2010,LC,N,3,LCN3,25,-0.41
5/26/2010,LC,N,3,LCN3,2.5,-0.61
5/26/2010,LC,N,3,LCN3,22.5,-0.35
5/26/2010,LC,N,3,LCN3,17.5,-0.19
5/26/2010,LC,N,3,LCN3,12.5,-0.04
5/26/2010,LC,N,3,LCN3,10,-0.01
5/26/2010,LC,N,3,LCN3,5,-0.28
5/26/2010,LC,N,3,LCN3,20,-0.3
5/26/2010,LC,N,3,LCN3,7.5,-0.1
5/26/2010,LC,N,3,LCN3,27.5,-0.445
5/26/2010,LC,O,1,LCO1,2.5,
5/26/2010,LC,O,1,LCO1,5,
5/26/2010,LC,O,1,LCO1,7.5,
5/26/2010,LC,O,1,LCO1,10,
5/26/2010,LC,O,1,LCO1,12.5,
5/26/2010,LC,O,1,LCO1,15,
5/26/2010,LC,O,1,LCO1,17.5,
5/26/2010,LC,O,1,LCO1,20.3,
