,date,locality,site,bar,station,tran_length,elev_m
86,5/24/2010,CR,O,3,CRO3,7.5,-0.133
78,5/24/2010,CR,O,3,CRO3,10,-0.113
74,5/24/2010,CR,O,3,CRO3,12.5,-0.113
79,5/24/2010,CR,O,3,CRO3,15,-0.113
72,5/24/2010,CR,O,3,CRO3,17.5,-0.083
87,5/24/2010,CR,O,3,CRO3,20,-0.188
80,5/24/2010,CR,O,3,CRO3,22.5,-0.323
85,5/24/2010,CR,O,3,CRO3,25,-0.513
81,5/24/2010,CR,O,3,CRO3,27.5,-0.543
75,5/24/2010,CR,O,3,CRO3,30,-0.588
76,5/24/2010,CR,O,3,CRO3,32.5,-0.643
77,5/24/2010,CR,O,3,CRO3,35,-0.713
82,5/24/2010,CR,O,3,CRO3,37.5,-0.753
83,5/24/2010,CR,O,3,CRO3,40,-0.783
104,5/25/2010,HB,I,1,HBI1,2.5,-0.535
97,5/25/2010,HB,I,1,HBI1,5,-0.245
98,5/25/2010,HB,I,1,HBI1,7.5,-0.135
102,5/25/2010,HB,I,1,HBI1,10,-0.07
105,5/25/2010,HB,I,1,HBI1,12.5,-0.05
101,5/25/2010,HB,I,1,HBI1,15,-0.025
108,5/25/2010,HB,I,1,HBI1,17.5,-0.015
100,5/25/2010,HB,I,1,HBI1,20,-0.015
99,5/25/2010,HB,I,1,HBI1,22.5,-0.025
106,5/25/2010,HB,I,1,HBI1,25,-0.03
109,5/25/2010,HB,I,1,HBI1,27.5,-0.055
103,5/25/2010,HB,I,1,HBI1,30,-0.125
107,5/25/2010,HB,I,1,HBI1,32.5,-0.335
1550,12/8/2010,HB,I,2,HBI2,2.5,-0.253
1551,12/8/2010,HB,I,2,HBI2,5,-0.083
1549,12/8/2010,HB,I,2,HBI2,7.5,-0.058
1553,12/8/2010,HB,I,2,HBI2,10,-0.053
1552,12/8/2010,HB,I,2,HBI2,12.5,-0.093
1554,12/8/2010,HB,I,2,HBI2,15,-0.213
1548,12/8/2010,HB,I,2,HBI2,17.5,-0.393
878,8/6/2010,HB,I,3,HBI3,2.5,-0.572
881,8/6/2010,HB,I,3,HBI3,5,-0.352
882,8/6/2010,HB,I,3,HBI3,7.5,-0.162
880,8/6/2010,HB,I,3,HBI3,10,0.048
877,8/6/2010,HB,I,3,HBI3,12.5,0.063
879,8/6/2010,HB,I,3,HBI3,15,0.098
875,8/6/2010,HB,I,3,HBI3,17.5,0.088
876,8/6/2010,HB,I,3,HBI3,20,-0.002
874,8/6/2010,HB,I,3,HBI3,22.5,-0.152
873,8/6/2010,HB,I,3,HBI3,25,-0.472
872,8/6/2010,HB,I,3,HBI3,27.5,-0.562
1296,10/27/2010,HB,N,1,HBN1,2.5,-0.565
1294,10/27/2010,HB,N,1,HBN1,5,-0.46
1301,10/27/2010,HB,N,1,HBN1,7.5,-0.48
1300,10/27/2010,HB,N,1,HBN1,10,-0.445
1298,10/27/2010,HB,N,1,HBN1,12.5,-0.45
1299,10/27/2010,HB,N,1,HBN1,15,-0.58
1297,10/27/2010,HB,N,1,HBN1,17.5,-0.6
1307,10/27/2010,HB,N,2,HBN2,2.5,-0.626
1306,10/27/2010,HB,N,2,HBN2,5,-0.591
1309,10/27/2010,HB,N,2,HBN2,7.5,-0.566
1311,10/27/2010,HB,N,2,HBN2,10,-0.551
1310,10/27/2010,HB,N,2,HBN2,12.5,-0.536
1304,10/27/2010,HB,N,2,HBN2,15,-0.496
1305,10/27/2010,HB,N,2,HBN2,17.5,-0.496
1302,10/27/2010,HB,N,2,HBN2,20,-0.436
1303,10/27/2010,HB,N,2,HBN2,22.5,-0.441
1308,10/27/2010,HB,N,2,HBN2,25,-0.666
468,7/7/2010,HB,N,3,HBN3,2.5,-0.711
472,7/7/2010,HB,N,3,HBN3,5,-0.576
469,7/7/2010,HB,N,3,HBN3,7.5,-0.511
470,7/7/2010,HB,N,3,HBN3,10,-0.491
473,7/7/2010,HB,N,3,HBN3,12.5,-0.551
471,7/7/2010,HB,N,3,HBN3,15,-0.661
467,7/7/2010,HB,N,3,HBN3,17.5,-0.751
206,5/26/2010,LC,I,1,LCI1,2.5,-0.165
212,5/26/2010,LC,I,1,LCI1,5,0.07
211,5/26/2010,LC,I,1,LCI1,7.5,0.195
209,5/26/2010,LC,I,1,LCI1,10,0.225
210,5/26/2010,LC,I,1,LCI1,12.5,0.235
208,5/26/2010,LC,I,1,LCI1,15,0.245
207,5/26/2010,LC,I,1,LCI1,17.5,0.18
205,5/26/2010,LC,I,1,LCI1,20,-0.115
216,5/26/2010,LC,I,2,LCI2,2.5,-0.147
221,5/26/2010,LC,I,2,LCI2,5,0.073
217,5/26/2010,LC,I,2,LCI2,7.5,0.123
220,5/26/2010,LC,I,2,LCI2,10,0.123
218,5/26/2010,LC,I,2,LCI2,12.5,0.103
219,5/26/2010,LC,I,2,LCI2,15,0.063
215,5/26/2010,LC,I,2,LCI2,17.5,0.033
214,5/26/2010,LC,I,2,LCI2,20,-0.087
226,5/26/2010,LC,I,3,LCI3,2.5,0.129
224,5/26/2010,LC,I,3,LCI3,5,0.389
227,5/26/2010,LC,I,3,LCI3,7.5,0.469
225,5/26/2010,LC,I,3,LCI3,10,0.439
223,5/26/2010,LC,I,3,LCI3,12.5,0.439
228,5/26/2010,LC,I,3,LCI3,15,0.419
229,5/26/2010,LC,I,3,LCI3,17.5,0.309
222,5/26/2010,LC,I,3,LCI3,20,0.109
546,7/8/2010,LC,N,2,LCN2,2.5,0.071
549,7/8/2010,LC,N,2,LCN2,5,0.106
548,7/8/2010,LC,N,2,LCN2,7.5,0.196
