"","station","month_num","year","side","cnt"
"230","WQ1","3",2019,"BOTTOM",0
"231","WQ1","3",2019,"SIDE",0
"232","WQ10","3",2019,"TOP",0
"233","WQ10","3",2019,"BOTTOM",0
"234","WQ10","3",2019,"SIDE",0
"235","WQ2","3",2019,"TOP",0
"236","WQ2","3",2019,"BOTTOM",0
"237","WQ2","3",2019,"SIDE",0
"238","WQ3","3",2019,"TOP",0
"239","WQ3","3",2019,"BOTTOM",0
"240","WQ3","3",2019,"SIDE",0
"241","WQ4","3",2019,"TOP",0
"242","WQ4","3",2019,"BOTTOM",0
"243","WQ4","3",2019,"SIDE",0
"244","WQ5","3",2019,"TOP",0
"245","WQ5","3",2019,"BOTTOM",0
"246","WQ5","3",2019,"SIDE",0
"247","WQ6","3",2019,"TOP",0
"248","WQ6","3",2019,"BOTTOM",0
"249","WQ6","3",2019,"SIDE",0
"250","WQ7","3",2019,"TOP",0
"251","WQ7","3",2019,"BOTTOM",0
"252","WQ7","3",2019,"SIDE",0
"253","WQ8","3",2019,"TOP",0
"254","WQ8","3",2019,"BOTTOM",0
"255","WQ8","3",2019,"SIDE",0
"256","WQ9","3",2019,"TOP",0
"257","WQ9","3",2019,"BOTTOM",0
"258","WQ9","3",2019,"SIDE",0
"259","WQ1","4",2019,"TOP",0
"260","WQ1","4",2019,"BOTTOM",0
"261","WQ1","4",2019,"SIDE",0
"262","WQ10","4",2019,"TOP",0
"263","WQ10","4",2019,"BOTTOM",28
"264","WQ10","4",2019,"SIDE",0
"265","WQ2","4",2019,"TOP",8
"266","WQ2","4",2019,"BOTTOM",3
"267","WQ2","4",2019,"SIDE",0
"268","WQ3","4",2019,"TOP",0
"269","WQ3","4",2019,"BOTTOM",8
"270","WQ3","4",2019,"SIDE",0
"271","WQ4","4",2019,"TOP",0
"272","WQ4","4",2019,"BOTTOM",0
"273","WQ4","4",2019,"SIDE",0
"274","WQ5","4",2019,"TOP",0
"275","WQ5","4",2019,"BOTTOM",0
"276","WQ5","4",2019,"SIDE",0
"277","WQ6","4",2019,"TOP",0
"278","WQ6","4",2019,"BOTTOM",0
"279","WQ6","4",2019,"SIDE",0
"280","WQ7","4",2019,"TOP",34
"281","WQ7","4",2019,"BOTTOM",16
"282","WQ7","4",2019,"SIDE",0
"283","WQ8","4",2019,"TOP",0
"284","WQ8","4",2019,"BOTTOM",90
"285","WQ8","4",2019,"SIDE",0
"286","WQ9","4",2019,"TOP",1
"287","WQ9","4",2019,"BOTTOM",10
"288","WQ9","4",2019,"SIDE",0
"289","WQ1","5",2019,"TOP",5
"290","WQ1","5",2019,"BOTTOM",321
"291","WQ1","5",2019,"SIDE",0
"292","WQ10","5",2019,"TOP",52
"293","WQ10","5",2019,"BOTTOM",129
"294","WQ10","5",2019,"SIDE",16
"295","WQ2","5",2019,"TOP",3
"296","WQ2","5",2019,"BOTTOM",164
"297","WQ2","5",2019,"SIDE",7
"298","WQ3","5",2019,"TOP",10
"299","WQ3","5",2019,"BOTTOM",81
"300","WQ3","5",2019,"SIDE",9
"301","WQ4","5",2019,"TOP",3
"302","WQ4","5",2019,"BOTTOM",65
"303","WQ4","5",2019,"SIDE",0
"304","WQ5","5",2019,"TOP",21
"305","WQ5","5",2019,"BOTTOM",143
"306","WQ5","5",2019,"SIDE",4
"307","WQ6","5",2019,"TOP",0
"308","WQ6","5",2019,"BOTTOM",273
"309","WQ6","5",2019,"SIDE",8
"310","WQ7","5",2019,"TOP",227
"311","WQ7","5",2019,"BOTTOM",182
"312","WQ7","5",2019,"SIDE",30
"313","WQ8","5",2019,"TOP",146
"314","WQ8","5",2019,"BOTTOM",838
"315","WQ8","5",2019,"SIDE",0
"316","WQ9","5",2019,"TOP",0
"317","WQ9","5",2019,"BOTTOM",123
"318","WQ9","5",2019,"SIDE",0
"319","WQ1","6",2019,"TOP",0
"320","WQ1","6",2019,"BOTTOM",11
"321","WQ1","6",2019,"SIDE",0
"322","WQ10","6",2019,"TOP",0
"323","WQ10","6",2019,"BOTTOM",81
"324","WQ10","6",2019,"SIDE",0
"325","WQ2","6",2019,"TOP",0
"326","WQ2","6",2019,"BOTTOM",0
"327","WQ2","6",2019,"SIDE",0
"328","WQ3","6",2019,"TOP",0
"329","WQ3","6",2019,"BOTTOM",0
"330","WQ3","6",2019,"SIDE",0
"331","WQ4","6",2019,"TOP",0
"332","WQ4","6",2019,"BOTTOM",1
"333","WQ4","6",2019,"SIDE",0
"335","WQ6","6",2019,"TOP",0
"336","WQ6","6",2019,"BOTTOM",11
"337","WQ6","6",2019,"SIDE",0
"338","WQ7","6",2019,"TOP",9
