"","station","month_num","year","total","type","rel_total"
"71","WQ5","5","2019",168,"TILE",0.170731707317073
"72","WQ5","6","2018",967,"TILE",0.767460317460318
"73","WQ5","7","2019",0,"TILE",0
"74","WQ5","8","2018",59,"TILE",1
"75","WQ5","8","2019",20,"TILE",0.113636363636364
"76","WQ5","9","2018",32,"TILE",0.2
"77","WQ5","9","2019",0,"TILE",0
"78","WQ5","10","2018",0,"TILE",0
"79","WQ5","11","2018",0,"TILE",0
"80","WQ5","12","2018",0,"TILE",0
"81","WQ6","1","2019",0,"TILE",0
"82","WQ6","2","2019",0,"TILE",0
"83","WQ6","3","2019",0,"TILE",0
"84","WQ6","4","2019",0,"TILE",0
"85","WQ6","5","2019",281,"TILE",0.285569105691057
"86","WQ6","6","2018",0,"TILE",0
"87","WQ6","6","2019",11,"TILE",0.0738255033557047
"88","WQ6","7","2018",0,"TILE",0
"89","WQ6","7","2019",11,"TILE",0.0948275862068965
"90","WQ6","8","2018",0,"TILE",0
"91","WQ6","8","2019",1,"TILE",0.00568181818181818
"92","WQ6","9","2018",13,"TILE",0.08125
"93","WQ6","9","2019",1,"TILE",0.111111111111111
"94","WQ6","10","2018",0,"TILE",0
"95","WQ6","11","2018",0,"TILE",0
"96","WQ6","12","2018",0,"TILE",0
"97","WQ7","1","2019",0,"TILE",0
"98","WQ7","2","2019",0,"TILE",0
"99","WQ7","3","2019",0,"TILE",0
"100","WQ7","4","2019",50,"TILE",0.555555555555556
"101","WQ7","5","2019",439,"TILE",0.446138211382114
"102","WQ7","6","2018",920,"TILE",0.73015873015873
"103","WQ7","6","2019",33,"TILE",0.221476510067114
"104","WQ7","8","2018",12,"TILE",0.203389830508475
"105","WQ7","8","2019",96,"TILE",0.545454545454545
"106","WQ7","9","2018",101,"TILE",0.63125
"107","WQ7","9","2019",9,"TILE",1
"108","WQ7","10","2018",5,"TILE",0.625
"109","WQ7","11","2018",0,"TILE",0
"110","WQ7","12","2018",0,"TILE",0
"111","WQ8","1","2019",0,"TILE",0
"112","WQ8","2","2019",0,"TILE",0
"113","WQ8","3","2019",0,"TILE",0
"114","WQ8","4","2019",90,"TILE",1
"115","WQ8","5","2019",984,"TILE",1
"116","WQ8","6","2018",955,"TILE",0.757936507936508
"117","WQ8","6","2019",149,"TILE",1
"118","WQ8","7","2018",469,"TILE",1
"119","WQ8","7","2019",116,"TILE",1
"120","WQ8","8","2019",176,"TILE",1
"121","WQ8","9","2018",160,"TILE",1
"122","WQ8","9","2019",4,"TILE",0.444444444444444
"123","WQ8","10","2018",8,"TILE",1
"124","WQ8","11","2018",0,"TILE",0
"125","WQ8","12","2018",0,"TILE",0
"126","WQ9","1","2019",0,"TILE",0
"127","WQ9","2","2019",0,"TILE",0
"128","WQ9","3","2019",0,"TILE",0
"129","WQ9","4","2019",11,"TILE",0.122222222222222
"130","WQ9","5","2019",123,"TILE",0.125
"131","WQ9","6","2018",1223,"TILE",0.970634920634921
"132","WQ9","6","2019",24,"TILE",0.161073825503356
"133","WQ9","7","2018",410,"TILE",0.874200426439232
"134","WQ9","7","2019",17,"TILE",0.146551724137931
"135","WQ9","8","2018",5,"TILE",0.0847457627118644
"136","WQ9","9","2018",23,"TILE",0.14375
"137","WQ9","10","2018",0,"TILE",0
"138","WQ9","11","2018",0,"TILE",0
"139","WQ9","12","2018",0,"TILE",0
