LTI5-1-7,298811.6910000,3239348.224,-1.012,
LTI5-1-8,298814.3010000,3239348.525,-1.073,
LTI5-2-0,298797.9000000,3239339.969,-1.053,
LTI5-2-1,298800.4210000,3239339.857,-0.981,
LTI5-2-2,298802.8930000,3239339.757,-0.73,
LTI5-2-3,298805.3970000,3239339.776,-0.772,
LTI5-2-4,298807.8540000,3239339.622,-0.715,
LTI5-2-5,298810.3010000,3239339.471,-0.795,
LTI5-2-6,298812.8020000,3239339.364,-0.921,
LTI5-2-7,298815.2960000,3239339.494,-0.998,
LTI5-2-8,298816.8160000,3239339.605,-1.177,
LTI6-0,298778.7930000,3239323.481,-0.935,
LTI6-1,298781.2340000,3239323.376,-0.746,
LTI6-2,298783.7160000,3239323.541,-0.546,
LTI6-3,298786.1990000,3239323.398,-0.516,
LTI6-4,298788.6880000,3239323.274,-0.513,
LTI6-5,298791.1750000,3239323.228,-0.538,
LTI6-6,298793.6330000,3239323.069,-0.737,
LTI6-7,298796.1690000,3239323.139,-0.889,
LTI6-8,298797.7030000,3239323.133,-0.983,
RTCM0001,295814.7730000,3240364.45,28.427,
test,295815.0150000,3240366.987,1.582,
wq3,297484.3490000,3236190.212,-1.387,
XCTY,295723.8040000,3280514.315,13.949,DG4685
