"","field_pt","date","year","month","day","locality","site","bar","station","transect","tran_length","easting","northing","elev_m","collector","type","gear","neg_e_abs","elev_cat"
"68","BTI4-2-8","1/8/2019",2019,1,8,"BT","I","4","BTI4",2,20,297513.474,3239005.043,-0.816,"UF","REEF","TRIMBLE_5800_RTK",0.816,-0.8
"69","BTI4-2-9","1/8/2019",2019,1,8,"BT","I","4","BTI4",2,22.5,297516.01,3239005.081,-0.806,"UF","REEF","TRIMBLE_5800_RTK",0.806,-0.8
"70","BTI4-2-10","1/8/2019",2019,1,8,"BT","I","4","BTI4",2,25,297518.477,3239005.024,-0.784,"UF","REEF","TRIMBLE_5800_RTK",0.784,-0.7
"71","BTI4-2-11","1/8/2019",2019,1,8,"BT","I","4","BTI4",2,27.5,297521.037,3239004.718,-0.574,"UF","REEF","TRIMBLE_5800_RTK",0.574,-0.5
"72","BTI4-2-12","1/8/2019",2019,1,8,"BT","I","4","BTI4",2,28.1,297521.597,3239004.695,-0.634,"UF","REEF","TRIMBLE_5800_RTK",0.634,-0.6
"73","BTI5-1-0","1/8/2019",2019,1,8,"BT","I","5","BTI5",1,0,297870.52,3239059.308,-0.954,"UF","REEF","TRIMBLE_5800_RTK",0.954,-0.9
"74","BTI5-1-1","1/8/2019",2019,1,8,"BT","I","5","BTI5",1,2.5,297869.937,3239056.809,-0.408,"UF","REEF","TRIMBLE_5800_RTK",0.408,-0.4
"75","BTI5-1-2","1/8/2019",2019,1,8,"BT","I","5","BTI5",1,5,297869.523,3239054.406,-0.386,"UF","REEF","TRIMBLE_5800_RTK",0.386,-0.3
"76","BTI5-1-3","1/8/2019",2019,1,8,"BT","I","5","BTI5",1,7.5,297869.172,3239051.952,-0.511,"UF","REEF","TRIMBLE_5800_RTK",0.511,-0.5
"77","BTI5-1-4","1/8/2019",2019,1,8,"BT","I","5","BTI5",1,10,297868.838,3239049.516,-0.514,"UF","REEF","TRIMBLE_5800_RTK",0.514,-0.5
"78","BTI5-1-5","1/8/2019",2019,1,8,"BT","I","5","BTI5",1,12.5,297868.408,3239047.039,-0.529,"UF","REEF","TRIMBLE_5800_RTK",0.529,-0.5
"79","BTI5-1-6","1/8/2019",2019,1,8,"BT","I","5","BTI5",1,15,297868.075,3239044.63,-0.546,"UF","REEF","TRIMBLE_5800_RTK",0.546,-0.5
"80","BTI5-1-7","1/8/2019",2019,1,8,"BT","I","5","BTI5",1,17.5,297867.666,3239042.074,-0.688,"UF","REEF","TRIMBLE_5800_RTK",0.688,-0.6
"81","BTI5-1-8","1/8/2019",2019,1,8,"BT","I","5","BTI5",1,20,297867.22,3239039.581,-0.85,"UF","REEF","TRIMBLE_5800_RTK",0.85,-0.8
"82","BTI5-1-9","1/8/2019",2019,1,8,"BT","I","5","BTI5",1,21.75,297866.756,3239037.732,-0.93,"UF","REEF","TRIMBLE_5800_RTK",0.93,-0.9
"83","BTI5-2-0","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,0,297850.223,3239052.021,-0.383,"UF","REEF","TRIMBLE_5800_RTK",0.383,-0.3
"84","BTI5-2-1","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,2.5,297852.787,3239051.822,-0.419,"UF","REEF","TRIMBLE_5800_RTK",0.419,-0.4
"85","BTI5-2-2","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,5,297855.259,3239051.693,-0.486,"UF","REEF","TRIMBLE_5800_RTK",0.486,-0.4
"86","BTI5-2-3","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,7.5,297857.764,3239051.533,-0.485,"UF","REEF","TRIMBLE_5800_RTK",0.485,-0.4
"87","BTI5-2-4","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,10,297860.31,3239051.504,-0.5,"UF","REEF","TRIMBLE_5800_RTK",0.5,-0.5
"88","BTI5-2-5","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,12.5,297862.786,3239051.307,-0.552,"UF","REEF","TRIMBLE_5800_RTK",0.552,-0.5
"89","BTI5-2-6","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,15,297865.217,3239051.104,-0.41,"UF","REEF","TRIMBLE_5800_RTK",0.41,-0.4
"90","BTI5-2-7","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,17.5,297867.728,3239050.826,-0.426,"UF","REEF","TRIMBLE_5800_RTK",0.426,-0.4
"91","BTI5-2-8","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,20,297870.181,3239050.523,-0.516,"UF","REEF","TRIMBLE_5800_RTK",0.516,-0.5
"92","BTI5-2-9","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,22.5,297872.688,3239050.365,-0.516,"UF","REEF","TRIMBLE_5800_RTK",0.516,-0.5
"93","BTI5-2-10","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,25,297875.177,3239050.185,-0.459,"UF","REEF","TRIMBLE_5800_RTK",0.459,-0.4
"94","BTI5-2-11","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,27.5,297877.669,3239050.025,-0.468,"UF","REEF","TRIMBLE_5800_RTK",0.468,-0.4
"95","BTI5-2-12","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,30,297880.168,3239049.873,-0.408,"UF","REEF","TRIMBLE_5800_RTK",0.408,-0.4
"96","BTI5-2-13","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,32.5,297882.662,3239049.711,-0.391,"UF","REEF","TRIMBLE_5800_RTK",0.391,-0.3
"97","BTI5-2-14","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,35,297885.168,3239049.581,-0.579,"UF","REEF","TRIMBLE_5800_RTK",0.579,-0.5
"98","BTI5-2-15","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,37.5,297887.653,3239049.417,-0.648,"UF","REEF","TRIMBLE_5800_RTK",0.648,-0.6
"99","BTI5-2-16","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,40,297890.154,3239049.234,-0.766,"UF","REEF","TRIMBLE_5800_RTK",0.766,-0.7
"100","BTI5-2-17","1/8/2019",2019,1,8,"BT","I","5","BTI5",2,40.94,297891.27,3239049.12,-0.851,"UF","REEF","TRIMBLE_5800_RTK",0.851,-0.8
"101","LCGCP1","10/25/2018",2018,10,25,"LC","I","-999","N_A",-999,-999,298128.822,3235650.883,-0.162,"UF","DRONE","TRIMBLE_5800_RTK",0.162,-0.1
"102","LCGCP2","10/25/2018",2018,10,25,"LC","I","-999","N_A",-999,-999,298751.345,3235727.804,-0.003,"UF","DRONE","TRIMBLE_5800_RTK",0.003,0
"103","LCGCP4","10/25/2018",2018,10,25,"LC","I","-999","N_A",-999,-999,298808.109,3236196.943,-0.104,"UF","DRONE","TRIMBLE_5800_RTK",0.104,-0.1
"104","LTGCP1","10/24/2018",2018,10,24,"LT","I","-999","N_A",-999,-999,298264.873,3238465.89,-0.091,"UF","DRONE","TRIMBLE_5800_RTK",0.091,0
"105","LTGCP3","10/24/2018",2018,10,24,"LT","I","-999","N_A",-999,-999,298378.183,3238371.311,-0.341,"UF","DRONE","TRIMBLE_5800_RTK",0.341,-0.3
"106","LTGCP5","10/24/2018",2018,10,24,"LT","I","-999","N_A",-999,-999,298257.153,3238295.554,-0.103,"UF","DRONE","TRIMBLE_5800_RTK",0.103,-0.1
"107","LTGCP2","1/24/2019",2019,1,24,"LT","I","-999","N_A",-999,-999,298500.788,3238699.353,-0.134,"UF","DRONE","TRIMBLE_5800_RTK",0.134,-0.1
"108","LTGCP4","1/24/2019",2019,1,24,"LT","I","-999","N_A",-999,-999,298420.777,3238584.897,-0.073,"UF","DRONE","TRIMBLE_5800_RTK",0.073,0
"109","LTI1-0","1/24/2019",2019,1,24,"LT","I","1","LTI1",1,0,298130.414,3238436.82,-0.888,"UF","REEF","TRIMBLE_5800_RTK",0.888,-0.8
"110","LTI1-1","1/24/2019",2019,1,24,"LT","I","1","LTI1",1,2.5,298131.679,3238434.581,-0.831,"UF","REEF","TRIMBLE_5800_RTK",0.831,-0.8
"111","LTI1-2","1/24/2019",2019,1,24,"LT","I","1","LTI1",1,5,298133.034,3238432.455,-0.783,"UF","REEF","TRIMBLE_5800_RTK",0.783,-0.7
"112","LTI1-3","1/24/2019",2019,1,24,"LT","I","1","LTI1",1,7.5,298134.399,3238430.285,-0.778,"UF","REEF","TRIMBLE_5800_RTK",0.778,-0.7
"113","LTI1-4","1/24/2019",2019,1,24,"LT","I","1","LTI1",1,10,298135.73,3238428.133,-0.809,"UF","REEF","TRIMBLE_5800_RTK",0.809,-0.8
"114","LTI1-5","1/24/2019",2019,1,24,"LT","I","1","LTI1",1,12.5,298137.104,3238426.04,-0.733,"UF","REEF","TRIMBLE_5800_RTK",0.733,-0.7
"115","LTI1-6","1/24/2019",2019,1,24,"LT","I","1","LTI1",1,15,298138.452,3238423.915,-0.726,"UF","REEF","TRIMBLE_5800_RTK",0.726,-0.7
"116","LTI1-7","1/24/2019",2019,1,24,"LT","I","1","LTI1",1,17.5,298139.915,3238421.9,-0.762,"UF","REEF","TRIMBLE_5800_RTK",0.762,-0.7
"117","LTI1-8","1/24/2019",2019,1,24,"LT","I","1","LTI1",1,20,298141.338,3238419.827,-0.734,"UF","REEF","TRIMBLE_5800_RTK",0.734,-0.7
"118","LTI1-9","1/24/2019",2019,1,24,"LT","I","1","LTI1",1,22.5,298142.823,3238417.645,-0.717,"UF","REEF","TRIMBLE_5800_RTK",0.717,-0.7
"119","LTI1-10","1/24/2019",2019,1,24,"LT","I","1","LTI1",1,25,298144.332,3238415.44,-0.805,"UF","REEF","TRIMBLE_5800_RTK",0.805,-0.8
"120","LTI1-11","1/24/2019",2019,1,24,"LT","I","1","LTI1",1,27.5,298145.915,3238413.457,-0.861,"UF","REEF","TRIMBLE_5800_RTK",0.861,-0.8
"121","LTI1-12","1/24/2019",2019,1,24,"LT","I","1","LTI1",1,29.8,298146.917,3238411.904,-0.877,"UF","REEF","TRIMBLE_5800_RTK",0.877,-0.8
"122","LTI2-0","1/24/2019",2019,1,24,"LT","I","2","LTI2",1,0,298227.231,3238332.396,-0.804,"UF","REEF","TRIMBLE_5800_RTK",0.804,-0.8
"123","LTI2-1","1/24/2019",2019,1,24,"LT","I","2","LTI2",1,2.5,298229.083,3238330.838,-0.807,"UF","REEF","TRIMBLE_5800_RTK",0.807,-0.8
"124","LTI2-2","1/24/2019",2019,1,24,"LT","I","2","LTI2",1,5,298231.059,3238329.392,-0.785,"UF","REEF","TRIMBLE_5800_RTK",0.785,-0.7
"125","LTI2-3","1/24/2019",2019,1,24,"LT","I","2","LTI2",1,7.5,298233.072,3238327.883,-0.795,"UF","REEF","TRIMBLE_5800_RTK",0.795,-0.7
"126","LTI2-4","1/24/2019",2019,1,24,"LT","I","2","LTI2",1,10,298235.144,3238326.532,-0.696,"UF","REEF","TRIMBLE_5800_RTK",0.696,-0.6
"127","LTI2-5","1/24/2019",2019,1,24,"LT","I","2","LTI2",1,12.5,298237.204,3238325.117,-0.772,"UF","REEF","TRIMBLE_5800_RTK",0.772,-0.7
"128","LTI2-6","1/24/2019",2019,1,24,"LT","I","2","LTI2",1,15,298239.352,3238323.873,-0.736,"UF","REEF","TRIMBLE_5800_RTK",0.736,-0.7
"129","LTI2-7","1/24/2019",2019,1,24,"LT","I","2","LTI2",1,17.5,298241.487,3238322.475,-0.724,"UF","REEF","TRIMBLE_5800_RTK",0.724,-0.7
"130","LTI2-8","1/24/2019",2019,1,24,"LT","I","2","LTI2",1,20,298243.599,3238321.097,-0.756,"UF","REEF","TRIMBLE_5800_RTK",0.756,-0.7
"131","LTI2-9","1/24/2019",2019,1,24,"LT","I","2","LTI2",1,22.68,298245.875,3238319.687,-0.761,"UF","REEF","TRIMBLE_5800_RTK",0.761,-0.7
"132","LTI3-0","1/24/2019",2019,1,24,"LT","I","3","LTI3",1,0,298345.517,3238419.686,-0.194,"UF","REEF","TRIMBLE_5800_RTK",0.194,-0.1
"133","LTI3-1","1/24/2019",2019,1,24,"LT","I","3","LTI3",1,2.5,298345.379,3238417.213,-0.183,"UF","REEF","TRIMBLE_5800_RTK",0.183,-0.1
"134","LTI3-2","1/24/2019",2019,1,24,"LT","I","3","LTI3",1,5,298344.961,3238414.78,-0.102,"UF","REEF","TRIMBLE_5800_RTK",0.102,-0.1
"135","LTI3-3","1/24/2019",2019,1,24,"LT","I","3","LTI3",1,7.5,298344.646,3238412.295,-0.179,"UF","REEF","TRIMBLE_5800_RTK",0.179,-0.1
"136","LTI3-4","1/24/2019",2019,1,24,"LT","I","3","LTI3",1,10,298344.265,3238409.868,-0.262,"UF","REEF","TRIMBLE_5800_RTK",0.262,-0.2
"137","LTI3-5","1/24/2019",2019,1,24,"LT","I","3","LTI3",1,12.5,298343.895,3238407.396,-0.267,"UF","REEF","TRIMBLE_5800_RTK",0.267,-0.2
"138","LTI3-6","1/24/2019",2019,1,24,"LT","I","3","LTI3",1,15,298343.721,3238404.947,-0.287,"UF","REEF","TRIMBLE_5800_RTK",0.287,-0.2
"139","LTI3-7","1/24/2019",2019,1,24,"LT","I","3","LTI3",1,17.5,298343.461,3238402.441,-0.186,"UF","REEF","TRIMBLE_5800_RTK",0.186,-0.1
"140","LTI3-8","1/24/2019",2019,1,24,"LT","I","3","LTI3",1,20,298343.252,3238399.979,-0.299,"UF","REEF","TRIMBLE_5800_RTK",0.299,-0.2
"141","LTI3-9","1/24/2019",2019,1,24,"LT","I","3","LTI3",1,22.5,298343.06,3238397.501,-0.302,"UF","REEF","TRIMBLE_5800_RTK",0.302,-0.3
"142","LTI3-10","1/24/2019",2019,1,24,"LT","I","3","LTI3",1,25,298342.955,3238395.024,-0.243,"UF","REEF","TRIMBLE_5800_RTK",0.243,-0.2
"143","LTI3-11","1/24/2019",2019,1,24,"LT","I","3","LTI3",1,27.5,298342.831,3238392.502,-0.421,"UF","REEF","TRIMBLE_5800_RTK",0.421,-0.4
"144","LTI3-12","1/24/2019",2019,1,24,"LT","I","3","LTI3",1,30,298342.598,3238390.043,-0.46,"UF","REEF","TRIMBLE_5800_RTK",0.46,-0.4
"145","LTI3-13","1/24/2019",2019,1,24,"LT","I","3","LTI3",1,32.5,298342.621,3238387.587,-0.495,"UF","REEF","TRIMBLE_5800_RTK",0.495,-0.4
"146","LTI3-14","1/24/2019",2019,1,24,"LT","I","3","LTI3",1,35,298342.753,3238385.094,-0.503,"UF","REEF","TRIMBLE_5800_RTK",0.503,-0.5
"147","LTI3-15","1/24/2019",2019,1,24,"LT","I","3","LTI3",1,37.5,298342.945,3238382.611,-0.622,"UF","REEF","TRIMBLE_5800_RTK",0.622,-0.6
"148","LTI4-0","1/24/2019",2019,1,24,"LT","I","4","LTI4",1,0,298305.041,3238557.595,-0.644,"UF","REEF","TRIMBLE_5800_RTK",0.644,-0.6
"149","LTI4-1","1/24/2019",2019,1,24,"LT","I","4","LTI4",1,2.5,298304.795,3238555.079,-0.345,"UF","REEF","TRIMBLE_5800_RTK",0.345,-0.3
"150","LTI4-2","1/24/2019",2019,1,24,"LT","I","4","LTI4",1,5,298304.465,3238552.618,-0.226,"UF","REEF","TRIMBLE_5800_RTK",0.226,-0.2
"151","LTI4-3","1/24/2019",2019,1,24,"LT","I","4","LTI4",1,7.5,298304.111,3238550.174,-0.187,"UF","REEF","TRIMBLE_5800_RTK",0.187,-0.1
