"","field_point","easting","northing","elev_m","date","year","month","day","locality","site","bar","station","transect","tran_length","collector","type","gear","neg_e_abs","elev_cat"
"8822","N_A",-999,-999,-0.528,"5/24/2010",2010,5,24,"CR","N","3","CRN3",1,2.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.528,-0.5
"8823","N_A",-999,-999,-0.353,"5/24/2010",2010,5,24,"CR","N","3","CRN3",1,5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.353,-0.3
"8824","N_A",-999,-999,-0.268,"5/24/2010",2010,5,24,"CR","N","3","CRN3",1,7.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.268,-0.2
"8825","N_A",-999,-999,-0.018,"5/24/2010",2010,5,24,"CR","N","3","CRN3",1,10,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.018,0
"8826","N_A",-999,-999,-0.018,"5/24/2010",2010,5,24,"CR","N","3","CRN3",1,27.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.018,0
"8827","N_A",-999,-999,-0.368,"5/24/2010",2010,5,24,"CR","N","3","CRN3",1,30,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.368,-0.3
"8828","N_A",-999,-999,-0.468,"5/24/2010",2010,5,24,"CR","N","3","CRN3",1,32.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.468,-0.4
"8829","N_A",-999,-999,-0.608,"5/24/2010",2010,5,24,"CR","N","3","CRN3",1,35,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.608,-0.6
"8830","N_A",-999,-999,-0.342,"5/24/2010",2010,5,24,"CR","O","1","CRO1",1,2.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.342,-0.3
"8831","N_A",-999,-999,-0.077,"5/24/2010",2010,5,24,"CR","O","1","CRO1",1,5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.077,0
"8832","N_A",-999,-999,-0.002,"5/24/2010",2010,5,24,"CR","O","1","CRO1",1,40,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.002,0
"8833","N_A",-999,-999,-0.002,"5/24/2010",2010,5,24,"CR","O","1","CRO1",1,42.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.002,0
"8834","N_A",-999,-999,-0.057,"5/24/2010",2010,5,24,"CR","O","1","CRO1",1,45,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.057,0
"8835","N_A",-999,-999,-0.102,"5/24/2010",2010,5,24,"CR","O","1","CRO1",1,47.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.102,-0.1
"8836","N_A",-999,-999,-0.162,"5/24/2010",2010,5,24,"CR","O","1","CRO1",1,50,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.162,-0.1
"8837","N_A",-999,-999,-0.127,"5/24/2010",2010,5,24,"CR","O","2","CRO2",1,2.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.127,-0.1
"8838","N_A",-999,-999,-0.217,"5/24/2010",2010,5,24,"CR","O","2","CRO2",1,25,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.217,-0.2
"8839","N_A",-999,-999,-0.493,"5/24/2010",2010,5,24,"CR","O","3","CRO3",1,2.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.493,-0.4
"8840","N_A",-999,-999,-0.098,"5/24/2010",2010,5,24,"CR","O","3","CRO3",1,5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.098,0
"8841","N_A",-999,-999,-0.133,"5/24/2010",2010,5,24,"CR","O","3","CRO3",1,7.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.133,-0.1
"8842","N_A",-999,-999,-0.113,"5/24/2010",2010,5,24,"CR","O","3","CRO3",1,10,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.113,-0.1
"8843","N_A",-999,-999,-0.113,"5/24/2010",2010,5,24,"CR","O","3","CRO3",1,12.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.113,-0.1
"8844","N_A",-999,-999,-0.113,"5/24/2010",2010,5,24,"CR","O","3","CRO3",1,15,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.113,-0.1
"8845","N_A",-999,-999,-0.083,"5/24/2010",2010,5,24,"CR","O","3","CRO3",1,17.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.083,0
"8846","N_A",-999,-999,-0.188,"5/24/2010",2010,5,24,"CR","O","3","CRO3",1,20,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.188,-0.1
"8847","N_A",-999,-999,-0.323,"5/24/2010",2010,5,24,"CR","O","3","CRO3",1,22.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.323,-0.3
"8848","N_A",-999,-999,-0.513,"5/24/2010",2010,5,24,"CR","O","3","CRO3",1,25,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.513,-0.5
"8849","N_A",-999,-999,-0.543,"5/24/2010",2010,5,24,"CR","O","3","CRO3",1,27.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.543,-0.5
"8850","N_A",-999,-999,-0.588,"5/24/2010",2010,5,24,"CR","O","3","CRO3",1,30,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.588,-0.5
"8851","N_A",-999,-999,-0.643,"5/24/2010",2010,5,24,"CR","O","3","CRO3",1,32.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.643,-0.6
"8852","N_A",-999,-999,-0.713,"5/24/2010",2010,5,24,"CR","O","3","CRO3",1,35,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.713,-0.7
"8853","N_A",-999,-999,-0.753,"5/24/2010",2010,5,24,"CR","O","3","CRO3",1,37.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.753,-0.7
"8854","N_A",-999,-999,-0.783,"5/24/2010",2010,5,24,"CR","O","3","CRO3",1,40,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.783,-0.7
"8855","N_A",-999,-999,-0.535,"5/25/2010",2010,5,25,"HB","I","1","HBI1",1,2.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.535,-0.5
"8856","N_A",-999,-999,-0.245,"5/25/2010",2010,5,25,"HB","I","1","HBI1",1,5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.245,-0.2
"8857","N_A",-999,-999,-0.135,"5/25/2010",2010,5,25,"HB","I","1","HBI1",1,7.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.135,-0.1
"8858","N_A",-999,-999,-0.07,"5/25/2010",2010,5,25,"HB","I","1","HBI1",1,10,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.07,0
"8859","N_A",-999,-999,-0.05,"5/25/2010",2010,5,25,"HB","I","1","HBI1",1,12.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.05,0
"8860","N_A",-999,-999,-0.025,"5/25/2010",2010,5,25,"HB","I","1","HBI1",1,15,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.025,0
"8861","N_A",-999,-999,-0.015,"5/25/2010",2010,5,25,"HB","I","1","HBI1",1,17.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.015,0
"8862","N_A",-999,-999,-0.015,"5/25/2010",2010,5,25,"HB","I","1","HBI1",1,20,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.015,0
"8863","N_A",-999,-999,-0.025,"5/25/2010",2010,5,25,"HB","I","1","HBI1",1,22.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.025,0
"8864","N_A",-999,-999,-0.03,"5/25/2010",2010,5,25,"HB","I","1","HBI1",1,25,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.03,0
"8865","N_A",-999,-999,-0.055,"5/25/2010",2010,5,25,"HB","I","1","HBI1",1,27.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.055,0
"8866","N_A",-999,-999,-0.125,"5/25/2010",2010,5,25,"HB","I","1","HBI1",1,30,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.125,-0.1
"8867","N_A",-999,-999,-0.335,"5/25/2010",2010,5,25,"HB","I","1","HBI1",1,32.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.335,-0.3
"8868","N_A",-999,-999,-0.253,"12/8/2010",2010,12,8,"HB","I","2","HBI2",1,2.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.253,-0.2
"8869","N_A",-999,-999,-0.083,"12/8/2010",2010,12,8,"HB","I","2","HBI2",1,5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.083,0
"8870","N_A",-999,-999,-0.058,"12/8/2010",2010,12,8,"HB","I","2","HBI2",1,7.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.058,0
"8871","N_A",-999,-999,-0.053,"12/8/2010",2010,12,8,"HB","I","2","HBI2",1,10,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.053,0
"8872","N_A",-999,-999,-0.093,"12/8/2010",2010,12,8,"HB","I","2","HBI2",1,12.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.093,0
"8873","N_A",-999,-999,-0.213,"12/8/2010",2010,12,8,"HB","I","2","HBI2",1,15,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.213,-0.2
"8874","N_A",-999,-999,-0.393,"12/8/2010",2010,12,8,"HB","I","2","HBI2",1,17.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.393,-0.3
"8875","N_A",-999,-999,-0.572,"8/6/2010",2010,8,6,"HB","I","3","HBI3",1,2.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.572,-0.5
"8876","N_A",-999,-999,-0.352,"8/6/2010",2010,8,6,"HB","I","3","HBI3",1,5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.352,-0.3
"8877","N_A",-999,-999,-0.162,"8/6/2010",2010,8,6,"HB","I","3","HBI3",1,7.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.162,-0.1
"8878","N_A",-999,-999,-0.002,"8/6/2010",2010,8,6,"HB","I","3","HBI3",1,20,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.002,0
"8879","N_A",-999,-999,-0.152,"8/6/2010",2010,8,6,"HB","I","3","HBI3",1,22.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.152,-0.1
"8880","N_A",-999,-999,-0.472,"8/6/2010",2010,8,6,"HB","I","3","HBI3",1,25,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.472,-0.4
"8881","N_A",-999,-999,-0.562,"8/6/2010",2010,8,6,"HB","I","3","HBI3",1,27.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.562,-0.5
"8882","N_A",-999,-999,-0.565,"10/27/2010",2010,10,27,"HB","N","1","HBN1",1,2.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.565,-0.5
"8883","N_A",-999,-999,-0.46,"10/27/2010",2010,10,27,"HB","N","1","HBN1",1,5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.46,-0.4
"8884","N_A",-999,-999,-0.48,"10/27/2010",2010,10,27,"HB","N","1","HBN1",1,7.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.48,-0.4
"8885","N_A",-999,-999,-0.445,"10/27/2010",2010,10,27,"HB","N","1","HBN1",1,10,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.445,-0.4
"8886","N_A",-999,-999,-0.45,"10/27/2010",2010,10,27,"HB","N","1","HBN1",1,12.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.45,-0.4
"8887","N_A",-999,-999,-0.58,"10/27/2010",2010,10,27,"HB","N","1","HBN1",1,15,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.58,-0.5
"8888","N_A",-999,-999,-0.6,"10/27/2010",2010,10,27,"HB","N","1","HBN1",1,17.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.6,-0.6
"8889","N_A",-999,-999,-0.626,"10/27/2010",2010,10,27,"HB","N","2","HBN2",1,2.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.626,-0.6
"8890","N_A",-999,-999,-0.591,"10/27/2010",2010,10,27,"HB","N","2","HBN2",1,5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.591,-0.5
"8891","N_A",-999,-999,-0.566,"10/27/2010",2010,10,27,"HB","N","2","HBN2",1,7.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.566,-0.5
"8892","N_A",-999,-999,-0.551,"10/27/2010",2010,10,27,"HB","N","2","HBN2",1,10,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.551,-0.5
"8893","N_A",-999,-999,-0.536,"10/27/2010",2010,10,27,"HB","N","2","HBN2",1,12.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.536,-0.5
"8894","N_A",-999,-999,-0.496,"10/27/2010",2010,10,27,"HB","N","2","HBN2",1,15,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.496,-0.4
"8895","N_A",-999,-999,-0.496,"10/27/2010",2010,10,27,"HB","N","2","HBN2",1,17.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.496,-0.4
"8896","N_A",-999,-999,-0.436,"10/27/2010",2010,10,27,"HB","N","2","HBN2",1,20,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.436,-0.4
"8897","N_A",-999,-999,-0.441,"10/27/2010",2010,10,27,"HB","N","2","HBN2",1,22.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.441,-0.4
"8898","N_A",-999,-999,-0.666,"10/27/2010",2010,10,27,"HB","N","2","HBN2",1,25,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.666,-0.6
"8899","N_A",-999,-999,-0.711,"7/7/2010",2010,7,7,"HB","N","3","HBN3",1,2.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.711,-0.7
"8900","N_A",-999,-999,-0.576,"7/7/2010",2010,7,7,"HB","N","3","HBN3",1,5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.576,-0.5
"8901","N_A",-999,-999,-0.511,"7/7/2010",2010,7,7,"HB","N","3","HBN3",1,7.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.511,-0.5
"8902","N_A",-999,-999,-0.491,"7/7/2010",2010,7,7,"HB","N","3","HBN3",1,10,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.491,-0.4
