field_point,easting,northing,elev_m,date,year,month,day,locality,site,bar,station,transect,tran_length,collector
BTI4-2-12,298081.696,3239803.905,-0.65,1/8/2019,2019,1,8,BT,I,4,BTI4,2,28.1,UF
BTI5-1-0,298429.539,3239864.785,-0.946,1/8/2019,2019,1,8,BT,I,5,BTI5,1,0,UF
BTI5-1-1,298429.006,3239862.284,-0.416,1/8/2019,2019,1,8,BT,I,5,BTI5,1,2.5,UF
BTI5-1-2,298428.636,3239859.865,-0.37,1/8/2019,2019,1,8,BT,I,5,BTI5,1,5,UF
BTI5-1-3,298428.328,3239857.401,-0.489,1/8/2019,2019,1,8,BT,I,5,BTI5,1,7.5,UF
BTI5-1-4,298428.035,3239854.971,-0.509,1/8/2019,2019,1,8,BT,I,5,BTI5,1,10,UF
BTI5-1-5,298427.643,3239852.499,-0.545,1/8/2019,2019,1,8,BT,I,5,BTI5,1,12.5,UF
BTI5-1-6,298427.359,3239850.061,-0.535,1/8/2019,2019,1,8,BT,I,5,BTI5,1,15,UF
BTI5-1-7,298427.001,3239847.517,-0.698,1/8/2019,2019,1,8,BT,I,5,BTI5,1,17.5,UF
BTI5-1-8,298426.598,3239845.009,-0.845,1/8/2019,2019,1,8,BT,I,5,BTI5,1,20,UF
BTI5-1-9,298426.164,3239843.146,-0.933,1/8/2019,2019,1,8,BT,I,5,BTI5,1,21.75,UF
BTI5-2-0,298409.384,3239857.143,-0.396,1/8/2019,2019,1,8,BT,I,5,BTI5,2,0,UF
BTI5-2-1,298411.946,3239856.996,-0.435,1/8/2019,2019,1,8,BT,I,5,BTI5,2,2.5,UF
BTI5-2-2,298414.418,3239856.899,-0.483,1/8/2019,2019,1,8,BT,I,5,BTI5,2,5,UF
BTI5-2-3,298416.926,3239856.789,-0.484,1/8/2019,2019,1,8,BT,I,5,BTI5,2,7.5,UF
BTI5-2-4,298419.477,3239856.807,-0.501,1/8/2019,2019,1,8,BT,I,5,BTI5,2,10,UF
BTI5-2-5,298421.949,3239856.651,-0.541,1/8/2019,2019,1,8,BT,I,5,BTI5,2,12.5,UF
BTI5-2-6,298424.391,3239856.495,-0.414,1/8/2019,2019,1,8,BT,I,5,BTI5,2,15,UF
BTI5-2-7,298426.9,3239856.252,-0.422,1/8/2019,2019,1,8,BT,I,5,BTI5,2,17.5,UF
BTI5-2-8,298429.367,3239856.017,-0.53,1/8/2019,2019,1,8,BT,I,5,BTI5,2,20,UF
BTI5-2-9,298431.864,3239855.89,-0.517,1/8/2019,2019,1,8,BT,I,5,BTI5,2,22.5,UF
BTI5-2-10,298434.37,3239855.759,-0.466,1/8/2019,2019,1,8,BT,I,5,BTI5,2,25,UF
BTI5-2-11,298436.853,3239855.64,-0.467,1/8/2019,2019,1,8,BT,I,5,BTI5,2,27.5,UF
BTI5-2-12,298439.354,3239855.526,-0.395,1/8/2019,2019,1,8,BT,I,5,BTI5,2,30,UF
BTI5-2-13,298441.854,3239855.427,-0.399,1/8/2019,2019,1,8,BT,I,5,BTI5,2,32.5,UF
BTI5-2-14,298444.369,3239855.332,-0.575,1/8/2019,2019,1,8,BT,I,5,BTI5,2,35,UF
BTI5-2-15,298446.84,3239855.213,-0.652,1/8/2019,2019,1,8,BT,I,5,BTI5,2,37.5,UF
BTI5-2-16,298449.348,3239855.074,-0.771,1/8/2019,2019,1,8,BT,I,5,BTI5,2,40,UF
BTI5-2-17,298450.467,3239854.979,-0.868,1/8/2019,2019,1,8,BT,I,5,BTI5,2,40.94,UF
LCIGCP1,298749.199,3236461.925,-0.162,10/25/2018,2018,10,25,LC,I,-999,N_A,-999,-999,UF
