field_pt,date,year,month,day,locality,site,bar,station,transect,tran_length,easting,northing,elev_m,collector,type,gear
BTI3-2-7,1/8/2019,2019,1,8,BT,I,3,BTI3,2,17.5,297718.096,3239363.957,-0.925,UF,REEF,TRIMBLE_5800_RTK
BTI3-2-8,1/8/2019,2019,1,8,BT,I,3,BTI3,2,19.7,297720.515,3239363.804,-0.776,UF,REEF,TRIMBLE_5800_RTK
BTI4-2-0,1/8/2019,2019,1,8,BT,I,4,BTI4,2,0,297493.513,3239006.63,-1.024,UF,REEF,TRIMBLE_5800_RTK
BTI4-2-1,1/8/2019,2019,1,8,BT,I,4,BTI4,2,2.5,297496.073,3239006.719,-0.979,UF,REEF,TRIMBLE_5800_RTK
BTI4-2-2,1/8/2019,2019,1,8,BT,I,4,BTI4,2,5,297498.555,3239006.597,-0.9,UF,REEF,TRIMBLE_5800_RTK
BTI4-2-3,1/8/2019,2019,1,8,BT,I,4,BTI4,2,7.5,297501.108,3239006.38,-0.931,UF,REEF,TRIMBLE_5800_RTK
BTI4-2-4,1/8/2019,2019,1,8,BT,I,4,BTI4,2,10,297503.568,3239006.024,-0.877,UF,REEF,TRIMBLE_5800_RTK
BTI4-2-5,1/8/2019,2019,1,8,BT,I,4,BTI4,2,12.5,297505.984,3239005.685,-0.876,UF,REEF,TRIMBLE_5800_RTK
BTI4-2-6,1/8/2019,2019,1,8,BT,I,4,BTI4,2,15,297508.51,3239005.469,-0.867,UF,REEF,TRIMBLE_5800_RTK
BTI4-2-7,1/8/2019,2019,1,8,BT,I,4,BTI4,2,17.5,297510.964,3239005.389,-0.935,UF,REEF,TRIMBLE_5800_RTK
BTI4-2-8,1/8/2019,2019,1,8,BT,I,4,BTI4,2,20,297513.474,3239005.043,-0.816,UF,REEF,TRIMBLE_5800_RTK
BTI4-2-9,1/8/2019,2019,1,8,BT,I,4,BTI4,2,22.5,297516.01,3239005.081,-0.806,UF,REEF,TRIMBLE_5800_RTK
BTI4-2-10,1/8/2019,2019,1,8,BT,I,4,BTI4,2,25,297518.477,3239005.024,-0.784,UF,REEF,TRIMBLE_5800_RTK
BTI4-2-11,1/8/2019,2019,1,8,BT,I,4,BTI4,2,27.5,297521.037,3239004.718,-0.574,UF,REEF,TRIMBLE_5800_RTK
BTI4-2-12,1/8/2019,2019,1,8,BT,I,4,BTI4,2,28.1,297521.597,3239004.695,-0.634,UF,REEF,TRIMBLE_5800_RTK
BTI5-1-0,1/8/2019,2019,1,8,BT,I,5,BTI5,1,0,297870.52,3239059.308,-0.954,UF,REEF,TRIMBLE_5800_RTK
BTI5-1-1,1/8/2019,2019,1,8,BT,I,5,BTI5,1,2.5,297869.937,3239056.809,-0.408,UF,REEF,TRIMBLE_5800_RTK
BTI5-1-2,1/8/2019,2019,1,8,BT,I,5,BTI5,1,5,297869.523,3239054.406,-0.386,UF,REEF,TRIMBLE_5800_RTK
BTI5-1-3,1/8/2019,2019,1,8,BT,I,5,BTI5,1,7.5,297869.172,3239051.952,-0.511,UF,REEF,TRIMBLE_5800_RTK
BTI5-1-4,1/8/2019,2019,1,8,BT,I,5,BTI5,1,10,297868.838,3239049.516,-0.514,UF,REEF,TRIMBLE_5800_RTK
BTI5-1-5,1/8/2019,2019,1,8,BT,I,5,BTI5,1,12.5,297868.408,3239047.039,-0.529,UF,REEF,TRIMBLE_5800_RTK
BTI5-1-6,1/8/2019,2019,1,8,BT,I,5,BTI5,1,15,297868.075,3239044.63,-0.546,UF,REEF,TRIMBLE_5800_RTK
BTI5-1-7,1/8/2019,2019,1,8,BT,I,5,BTI5,1,17.5,297867.666,3239042.074,-0.688,UF,REEF,TRIMBLE_5800_RTK
BTI5-1-8,1/8/2019,2019,1,8,BT,I,5,BTI5,1,20,297867.22,3239039.581,-0.85,UF,REEF,TRIMBLE_5800_RTK
BTI5-1-9,1/8/2019,2019,1,8,BT,I,5,BTI5,1,21.75,297866.756,3239037.732,-0.93,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-0,1/8/2019,2019,1,8,BT,I,5,BTI5,2,0,297850.223,3239052.021,-0.383,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-1,1/8/2019,2019,1,8,BT,I,5,BTI5,2,2.5,297852.787,3239051.822,-0.419,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-2,1/8/2019,2019,1,8,BT,I,5,BTI5,2,5,297855.259,3239051.693,-0.486,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-3,1/8/2019,2019,1,8,BT,I,5,BTI5,2,7.5,297857.764,3239051.533,-0.485,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-4,1/8/2019,2019,1,8,BT,I,5,BTI5,2,10,297860.31,3239051.504,-0.5,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-5,1/8/2019,2019,1,8,BT,I,5,BTI5,2,12.5,297862.786,3239051.307,-0.552,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-6,1/8/2019,2019,1,8,BT,I,5,BTI5,2,15,297865.217,3239051.104,-0.41,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-7,1/8/2019,2019,1,8,BT,I,5,BTI5,2,17.5,297867.728,3239050.826,-0.426,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-8,1/8/2019,2019,1,8,BT,I,5,BTI5,2,20,297870.181,3239050.523,-0.516,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-9,1/8/2019,2019,1,8,BT,I,5,BTI5,2,22.5,297872.688,3239050.365,-0.516,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-10,1/8/2019,2019,1,8,BT,I,5,BTI5,2,25,297875.177,3239050.185,-0.459,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-11,1/8/2019,2019,1,8,BT,I,5,BTI5,2,27.5,297877.669,3239050.025,-0.468,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-12,1/8/2019,2019,1,8,BT,I,5,BTI5,2,30,297880.168,3239049.873,-0.408,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-13,1/8/2019,2019,1,8,BT,I,5,BTI5,2,32.5,297882.662,3239049.711,-0.391,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-14,1/8/2019,2019,1,8,BT,I,5,BTI5,2,35,297885.168,3239049.581,-0.579,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-15,1/8/2019,2019,1,8,BT,I,5,BTI5,2,37.5,297887.653,3239049.417,-0.648,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-16,1/8/2019,2019,1,8,BT,I,5,BTI5,2,40,297890.154,3239049.234,-0.766,UF,REEF,TRIMBLE_5800_RTK
BTI5-2-17,1/8/2019,2019,1,8,BT,I,5,BTI5,2,40.94,297891.27,3239049.12,-0.851,UF,REEF,TRIMBLE_5800_RTK
LCGCP1,10/25/2018,2018,10,25,LC,I,-999,N_A,-999,-999,298128.822,3235650.883,-0.162,UF,DRONE,TRIMBLE_5800_RTK
