"","FID","Id","ORIG_FID","LENGTH","START_X","START_Y","MID_X","MID_Y","END_X","END_Y"
"1361",4397,0,1279,11.709988,298313.5769,3238435.733,298319.4319,3238435.733,298325.2869,3238435.733
"2361",5397,0,1692,14.56915855,297777.5127,3239521.733,297784.7973,3239521.733,297792.0819,3239521.733
"3836",8100,0,2276,34.89137531,298476.4375,3238670.783,298476.4375,3238688.228,298476.4375,3238705.674
"1612",4648,0,1369,13.36808427,298378.6049,3238615.733,298385.2889,3238615.733,298391.973,3238615.733
"2226",5262,0,1647,21.78555709,297926.2932,3239431.733,297937.186,3239431.733,297948.0788,3239431.733
"3687",7815,0,2257,38.45354942,298438.4375,3238631.866,298438.4375,3238651.092,298438.4375,3238670.319
"1616",4652,0,1371,15.94545733,298393.6344,3238619.733,298401.6071,3238619.733,298409.5799,3238619.733
"951",3987,0,1040,13.04243606,298379.7744,3237221.733,298386.2956,3237221.733,298392.8168,3237221.733
"3140",6626,0,2135,15.89345664,298194.4375,3238428.265,298194.4375,3238436.212,298194.4375,3238444.158
"4561",10535,0,2619,40.55786192,299208.4375,3235537.576,299208.4375,3235557.855,299208.4375,3235578.134
"1572",4608,0,1347,19.44203443,298442.4857,3238571.733,298452.2068,3238571.733,298461.9278,3238571.733
"4116",8801,0,2319,22.51609346,298562.4375,3237237.495,298562.4375,3237248.753,298562.4375,3237260.011
"4853",10827,0,2691,33.01110801,299352.4375,3235966.038,299352.4375,3235982.543,299352.4375,3235999.049
"760",3796,0,984,5.300200934,298595.7684,3237109.733,298598.4185,3237109.733,298601.0686,3237109.733
"3456",7287,0,2213,3.706596239,298350.4375,3238665.408,298350.4375,3238667.262,298350.4375,3238669.115
"1706",4742,0,1409,16.1667612,298468.6408,3238695.733,298476.7242,3238695.733,298484.8076,3238695.733
"967",4003,0,1053,17.1905279,298552.8171,3237247.733,298561.4124,3237247.733,298570.0076,3237247.733
"1347",4383,0,1276,3.191893488,298349.5919,3238429.733,298351.1879,3238429.733,298352.7838,3238429.733
"4630",10604,0,2636,5.437319511,299242.4375,3236087.785,299242.4375,3236090.504,299242.4375,3236093.222
"778",3814,0,990,11.077998,298611.1979,3237121.733,298616.7369,3237121.733,298622.2759,3237121.733
"2837",5932,0,1929,20.1136696,297782.4375,3239534.533,297782.4375,3239544.59,297782.4375,3239554.647
"3105",6316,0,2030,8.491039603,297984.4375,3239418.328,297984.4375,3239422.573,297984.4375,3239426.819
"23",374,0,235,32.43701868,298857.6842,3235419.733,298873.9027,3235419.733,298890.1212,3235419.733
"1524",4560,0,1336,23.28450051,298215.5876,3238549.733,298227.2299,3238549.733,298238.8721,3238549.733
"1479",4515,0,1320,24.64667593,298209.4213,3238517.733,298221.7446,3238517.733,298234.068,3238517.733
"515",1864,0,524,16.96052193,299304.1605,3236001.733,299312.6408,3236001.733,299321.121,3236001.733
"3179",6707,0,2148,13.31611163,298220.4375,3238559.838,298220.4375,3238566.496,298220.4375,3238573.154
"3915",8234,0,2284,19.03923315,298492.4375,3238579.261,298492.4375,3238588.78,298492.4375,3238598.3
"643",2241,0,564,11.25519981,299404.5189,3236081.733,299410.1465,3236081.733,299415.7741,3236081.733
"449",1713,0,509,12.56822656,299073.9558,3235971.733,299080.2399,3235971.733,299086.524,3235971.733
"2414",5450,0,1733,14.87931564,297637.2711,3239603.733,297644.7108,3239603.733,297652.1504,3239603.733
"1134",4170,0,1142,27.04842779,298507.7573,3237747.733,298521.2815,3237747.733,298534.8057,3237747.733
"3867",8151,0,2279,29.77745836,298482.4375,3238670.585,298482.4375,3238685.474,298482.4375,3238700.363
"2729",5765,0,1897,14.43455569,297718.4375,3239628.681,297718.4375,3239635.899,297718.4375,3239643.116
"2942",6073,0,1953,4.074967441,297830.4375,3238989.497,297830.4375,3238991.535,297830.4375,3238993.572
