"","FID","Id","ORIG_FID","LENGTH","START_X","START_Y","MID_X","MID_Y","END_X","END_Y"
"1025",1320,0,455,30.27229212,298388.3542,3235863.733,298403.4903,3235863.733,298418.6265,3235863.733
"4185",7992,0,2270,27.58107018,298464.4375,3236701.89,298464.4375,3236715.681,298464.4375,3236729.471
"412",455,0,268,15.9461192,298686.1894,3235485.733,298694.1624,3235485.733,298702.1355,3235485.733
"3433",6581,0,2125,23.56244586,298174.4375,3235863.064,298174.4375,3235874.845,298174.4375,3235886.626
"5145",9437,0,2379,45.83903457,298682.4375,3236120.091,298682.4375,3236143.01,298682.4375,3236165.93
"3892",7400,0,2221,51.88579939,298366.4375,3235549.117,298366.4375,3235575.06,298366.4375,3235601.003
"1087",1409,0,470,15.7384454,298250.7228,3235893.733,298258.592,3235893.733,298266.4613,3235893.733
"1652",2373,0,580,16.17982988,298687.3704,3236113.733,298695.4604,3236113.733,298703.5503,3236113.733
"2584",3327,0,803,19.66036989,298606.7887,3236559.733,298616.6189,3236559.733,298626.4491,3236559.733
"1528",2135,0,552,11.72909189,298546.4063,3236057.733,298552.2708,3236057.733,298558.1354,3236057.733
"4774",8998,0,2334,23.02801545,298592.4375,3235887.449,298592.4375,3235898.963,298592.4375,3235910.477
"3447",6599,0,2130,18.54870119,298184.4375,3235719.938,298184.4375,3235729.212,298184.4375,3235738.487
"4354",8377,0,2294,19.21400627,298512.4375,3236106.545,298512.4375,3236116.152,298512.4375,3236125.759
"1306",1801,0,518,12.00469459,298294.4608,3235989.733,298300.4631,3235989.733,298306.4654,3235989.733
"5746",10076,0,2465,18.48983908,298854.4375,3235918.728,298854.4375,3235927.973,298854.4375,3235937.218
"2780",3523,0,883,49.69584933,298502.7171,3236719.733,298527.565,3236719.733,298552.4129,3236719.733
"3023",5795,0,1910,42.38147515,297744.4375,3234627.884,297744.4375,3234649.075,297744.4375,3234670.266
"3641",6987,0,2191,15.52876751,298306.4375,3235736.519,298306.4375,3235744.284,298306.4375,3235752.048
"331",333,0,216,25.59909051,298483.283,3235381.733,298496.0825,3235381.733,298508.8821,3235381.733
"3971",7512,0,2232,44.62940387,298388.4375,3236258.964,298388.4375,3236281.279,298388.4375,3236303.593
"5072",9364,0,2372,12.85745017,298668.4375,3236468.895,298668.4375,3236475.324,298668.4375,3236481.752
"4805",9044,0,2338,54.46494772,298600.4375,3235966.772,298600.4375,3235994.005,298600.4375,3236021.237
"3770",7221,0,2209,22.92708957,298342.4375,3235255.963,298342.4375,3235267.427,298342.4375,3235278.89
"3823",7304,0,2215,24.3452169,298354.4375,3235101.355,298354.4375,3235113.527,298354.4375,3235125.7
"2543",3286,0,788,13.6917271,298545.0805,3236529.733,298551.9264,3236529.733,298558.7723,3236529.733
"3153",6217,0,1990,24.89669087,297904.4375,3234551.937,297904.4375,3234564.385,297904.4375,3234576.833
"1339",1865,0,525,12.35625533,298280.9949,3236003.733,298287.1731,3236003.733,298293.3512,3236003.733
"4076",7749,0,2252,12.47186003,298428.4375,3236175.496,298428.4375,3236181.732,298428.4375,3236187.967
"5549",9875,0,2426,25.31415468,298776.4375,3236601.041,298776.4375,3236613.698,298776.4375,3236626.356
"2717",3460,0,861,16.46285938,298835.8292,3236675.733,298844.0607,3236675.733,298852.2921,3236675.733
"3973",7514,0,2232,17.36031364,298388.4375,3236534.109,298388.4375,3236542.789,298388.4375,3236551.469
"4116",7861,0,2261,55.46083633,298446.4375,3236384.939,298446.4375,3236412.669,298446.4375,3236440.4
"5339",9639,0,2400,17.95565721,298724.4375,3236440.207,298724.4375,3236449.185,298724.4375,3236458.162
"460",546,0,295,29.28136088,298585.262,3235539.733,298599.9027,3235539.733,298614.5434,3235539.733
"641",875,0,354,31.37632867,298359.0406,3235657.733,298374.7288,3235657.733,298390.417,3235657.733
"2278",3021,0,702,11.0443047,298352.5148,3236357.733,298358.0369,3236357.733,298363.5591,3236357.733
"5778",10121,0,2472,51.53990625,298868.4375,3235766.312,298868.4375,3235792.082,298868.4375,3235817.852
"2428",3171,0,736,14.94525704,298712.7074,3236425.733,298720.18,3236425.733,298727.6527,3236425.733
"5000",9292,0,2365,18.39834276,298654.4375,3236829.581,298654.4375,3236838.78,298654.4375,3236847.979
"2445",3188,0,740,80.1489038,298437.0254,3236433.733,298477.0999,3236433.733,298517.1743,3236433.733
