"","FID","Id","ORIG_FID","LENGTH","START_X","START_Y","MID_X","MID_Y","END_X","END_Y"
"4659",10633,0,2645,19.84053313,299260.4375,3235920.006,299260.4375,3235929.927,299260.4375,3235939.847
"2693",5729,0,1885,46.48866828,297694.4375,3239365.868,297694.4375,3239389.112,297694.4375,3239412.357
"3183",6714,0,2149,33.30046781,298222.4375,3238538.953,298222.4375,3238555.604,298222.4375,3238572.254
"2185",5221,0,1634,52.20388388,297588.1949,3239405.733,297614.2968,3239405.733,297640.3988,3239405.733
"3701",7842,0,2259,30.91307841,298442.4375,3238540.798,298442.4375,3238556.255,298442.4375,3238571.711
"801",3837,0,997,10.50046288,298572.6001,3237135.733,298577.8503,3237135.733,298583.1005,3237135.733
"4683",10657,0,2651,40.07498024,299272.4375,3235915.723,299272.4375,3235935.76,299272.4375,3235955.798
"125",616,0,304,27.08425977,299039.8241,3235557.733,299053.3662,3235557.733,299066.9084,3235557.733
"1210",4246,0,1186,10.73448789,298385.0776,3238105.733,298390.4448,3238105.733,298395.8121,3238105.733
"4496",10470,0,2604,100.6598338,299178.4375,3235905.763,299178.4375,3235956.093,299178.4375,3236006.423
"932",3968,0,1032,22.58948981,298447.6851,3237205.733,298458.9798,3237205.733,298470.2746,3237205.733
"2071",5107,0,1569,18.3294228,297794.1301,3239227.733,297803.2948,3239227.733,297812.4595,3239227.733
"1037",4073,0,1101,16.02312978,298397.3517,3237665.733,298405.3632,3237665.733,298413.3748,3237665.733
"4340",10314,0,2557,28.7212179,299084.4375,3235902.832,299084.4375,3235917.193,299084.4375,3235931.553
"176",700,0,315,18.28494012,299048.6697,3235579.733,299057.8122,3235579.733,299066.9547,3235579.733
"4423",10397,0,2583,83.66966413,299136.4375,3235902.897,299136.4375,3235944.732,299136.4375,3235986.566
"3798",8043,0,2273,19.39305298,298470.4375,3237133.373,298470.4375,3237143.07,298470.4375,3237152.766
"76",527,0,292,23.71171964,298862.7714,3235533.733,298874.6273,3235533.733,298886.4832,3235533.733
"3237",6824,0,2167,10.34795188,298258.4375,3238572.454,298258.4375,3238577.628,298258.4375,3238582.802
"3106",6318,0,2031,10.01098641,297986.4375,3239416.765,297986.4375,3239421.771,297986.4375,3239426.776
"2207",5243,0,1642,19.00658002,297921.3495,3239421.733,297930.8527,3239421.733,297940.356,3239421.733
"58",493,0,287,24.3914114,298856.8609,3235523.733,298869.0566,3235523.733,298881.2523,3235523.733
"3996",8401,0,2295,13.63000874,298514.4375,3237200.105,298514.4375,3237206.92,298514.4375,3237213.735
"1907",4943,0,1509,20.56785887,297554.9668,3239107.733,297565.2508,3239107.733,297575.5347,3239107.733
"2697",5733,0,1886,42.45411568,297696.4375,3239364.461,297696.4375,3239385.688,297696.4375,3239406.915
"4290",10264,0,2542,72.27884219,299054.4375,3235594.227,299054.4375,3235630.367,299054.4375,3235666.506
"2510",5546,0,1811,59.98843613,297546.4375,3239029.667,297546.4375,3239059.661,297546.4375,3239089.655
"2876",5982,0,1937,28.41187146,297798.4375,3239528.043,297798.4375,3239542.249,297798.4375,3239556.455
"4408",10382,0,2578,79.5388529,299126.4375,3235901.819,299126.4375,3235941.588,299126.4375,3235981.358
"1424",4460,0,1299,28.91000306,298223.746,3238475.733,298238.201,3238475.733,298252.656,3238475.733
"543",1959,0,533,17.03441995,299131.8847,3236019.733,299140.4019,3236019.733,299148.9191,3236019.733
"3369",7064,0,2196,10.42547001,298316.4375,3238236.531,298316.4375,3238241.744,298316.4375,3238246.956
"4322",10296,0,2552,33.82780983,299074.4375,3235634.114,299074.4375,3235651.028,299074.4375,3235667.942
"2672",5708,0,1874,25.44439628,297672.4375,3239380.177,297672.4375,3239392.899,297672.4375,3239405.621
"284",1318,0,454,32.31196191,299336.9158,3235861.733,299353.0718,3235861.733,299369.2278,3235861.733
"548",1983,0,535,15.35599763,299276.7728,3236023.733,299284.4508,3236023.733,299292.1288,3236023.733
"4696",10670,0,2654,43.94106683,299278.4375,3235916.256,299278.4375,3235938.227,299278.4375,3235960.197
"2264",5300,0,1658,12.55079881,298049.9817,3239453.733,298056.2571,3239453.733,298062.5325,3239453.733
"502",1838,0,521,16.06012276,299344.8732,3235995.733,299352.9033,3235995.733,299360.9333,3235995.733
"4728",10702,0,2662,13.09550989,299294.4375,3236006.68,299294.4375,3236013.228,299294.4375,3236019.776
"1953",4989,0,1526,32.35061609,297570.7246,3239141.733,297586.8999,3239141.733,297603.0752,3239141.733
"418",1649,0,499,36.49700983,299268.3313,3235951.733,299286.5798,3235951.733,299304.8283,3235951.733
"2568",5604,0,1843,22.76470298,297610.4375,3239392.322,297610.4375,3239403.705,297610.4375,3239415.087
"1881",4917,0,1490,23.9928464,297537.2931,3239069.733,297549.2895,3239069.733,297561.286,3239069.733
"149",658,0,309,28.7231456,299195.8123,3235567.733,299210.1739,3235567.733,299224.5355,3235567.733
"4029",8494,0,2301,28.21578284,298526.4375,3237731.195,298526.4375,3237745.303,298526.4375,3237759.411
"214",786,0,332,36.3904945,299043.7758,3235613.733,299061.9711,3235613.733,299080.1663,3235613.733
"3254",6861,0,2176,22.86317061,298276.4375,3238451.332,298276.4375,3238462.764,298276.4375,3238474.196
"2733",5769,0,1899,20.40227642,297722.4375,3239348.485,297722.4375,3239358.686,297722.4375,3239368.887
"2651",5687,0,1865,18.72510363,297654.4375,3239378.547,297654.4375,3239387.91,297654.4375,3239397.272
"3608",7677,0,2245,31.9734243,298414.4375,3238660.205,298414.4375,3238676.191,298414.4375,3238692.178
"3274",6891,0,2181,60.98981314,298286.4375,3238528.272,298286.4375,3238558.767,298286.4375,3238589.262
"4141",8885,0,2325,10.15992923,298574.4375,3237130.222,298574.4375,3237135.302,298574.4375,3237140.382
"4812",10786,0,2676,19.06050245,299322.4375,3235804.955,299322.4375,3235814.485,299322.4375,3235824.015
"1843",4879,0,1477,26.61527549,297867.2658,3239043.733,297880.5734,3239043.733,297893.8811,3239043.733
"2454",5490,0,1768,27.28491874,297460.4375,3238932.206,297460.4375,3238945.849,297460.4375,3238959.491
"2977",6120,0,1966,43.23524866,297856.4375,3239158.176,297856.4375,3239179.794,297856.4375,3239201.411
"2539",5575,0,1835,48.77919457,297594.4375,3239129.44,297594.4375,3239153.83,297594.4375,3239178.219
"3926",8252,0,2285,15.88616775,298494.4375,3238700.403,298494.4375,3238708.346,298494.4375,3238716.289
"2492",5528,0,1793,35.8758407,297510.4375,3238992.831,297510.4375,3239010.769,297510.4375,3239028.707
"1461",4497,0,1313,38.98834208,298438.7726,3238503.733,298458.2668,3238503.733,298477.761,3238503.733
"4695",10669,0,2653,10.3725187,299276.4375,3236115.093,299276.4375,3236120.279,299276.4375,3236125.465
"1310",4346,0,1260,20.4525296,298336.8771,3238397.733,298347.1034,3238397.733,298357.3297,3238397.733
"3726",7893,0,2263,10.62113637,298450.4375,3238083.837,298450.4375,3238089.148,298450.4375,3238094.458
"61",499,0,288,23.19316788,298857.5267,3235525.733,298869.1232,3235525.733,298880.7198,3235525.733
"3004",6158,0,1977,17.41336887,297878.4375,3239117.472,297878.4375,3239126.179,297878.4375,3239134.886
"1911",4947,0,1511,23.03345664,297557.0019,3239111.733,297568.5187,3239111.733,297580.0354,3239111.733
"2699",5735,0,1886,15.4833715,297696.4375,3239624.309,297696.4375,3239632.051,297696.4375,3239639.793
"4787",10761,0,2671,33.44675116,299312.4375,3235798.651,299312.4375,3235815.375,299312.4375,3235832.098
"3407",7151,0,2203,16.96507097,298330.4375,3238401.695,298330.4375,3238410.178,298330.4375,3238418.66
"4579",10553,0,2623,22.72476137,299216.4375,3235989.131,299216.4375,3236000.494,299216.4375,3236011.856
"3672",7790,0,2255,26.45089302,298434.4375,3238541.358,298434.4375,3238554.583,298434.4375,3238567.809
"362",1546,0,485,11.22273085,299057.8478,3235923.733,299063.4592,3235923.733,299069.0705,3235923.733
"1696",4732,0,1406,22.53673179,298393.7587,3238689.733,298405.027,3238689.733,298416.2954,3238689.733
"1348",4384,0,1276,19.72997294,298416.7793,3238429.733,298426.6443,3238429.733,298436.5093,3238429.733
"817",3853,0,1001,21.45315362,298455.0929,3237143.733,298465.8195,3237143.733,298476.5461,3237143.733
"2123",5159,0,1604,20.90179016,297461.0416,3239345.733,297471.4925,3239345.733,297481.9434,3239345.733
"2963",6101,0,1960,45.16925914,297844.4375,3239154.691,297844.4375,3239177.276,297844.4375,3239199.86
"4325",10299,0,2553,39.41789466,299076.4375,3235579.942,299076.4375,3235599.651,299076.4375,3235619.359
"567",2057,0,543,61.32488278,299144.7474,3236039.733,299175.4099,3236039.733,299206.0723,3236039.733
"39",419,0,251,15.02066422,298864.0059,3235451.733,298871.5162,3235451.733,298879.0265,3235451.733
"676",2311,0,571,28.34388852,299352.4472,3236095.733,299366.6192,3236095.733,299380.7911,3236095.733
"2986",6134,0,1971,13.62796173,297866.4375,3239043.97,297866.4375,3239050.784,297866.4375,3239057.598
"3076",6276,0,2009,26.62922255,297942.4375,3239423.724,297942.4375,3239437.039,297942.4375,3239450.354
"2580",5616,0,1846,53.15179519,297616.4375,3239154.852,297616.4375,3239181.428,297616.4375,3239208.004
"3504",7475,0,2228,15.43079317,298380.4375,3238602.364,298380.4375,3238610.08,298380.4375,3238617.795
"1082",4118,0,1121,25.91937265,298461.0987,3237705.733,298474.0584,3237705.733,298487.0181,3237705.733
"135",634,0,306,26.35096185,299200.1907,3235561.733,299213.3662,3235561.733,299226.5417,3235561.733
"3696",7837,0,2259,13.66270848,298442.4375,3237130.866,298442.4375,3237137.698,298442.4375,3237144.529
"2878",5985,0,1938,15.35547705,297800.4375,3239152.864,297800.4375,3239160.541,297800.4375,3239168.219
"279",1310,0,453,22.15001745,299244.7389,3235859.733,299255.8139,3235859.733,299266.8889,3235859.733
"775",3811,0,989,12.81397033,298607.4619,3237119.733,298613.8689,3237119.733,298620.2759,3237119.733
"3714",7867,0,2261,20.95594289,298446.4375,3238492.305,298446.4375,3238502.783,298446.4375,3238513.261
"3294",6930,0,2185,64.21909978,298294.4375,3238524.165,298294.4375,3238556.274,298294.4375,3238588.384
