FID,Id,ORIG_FID,LENGTH,START_X,START_Y,MID_X,MID_Y,END_X,END_Y
92,0,59,29.8635398,297731.5628,3234657.733,297746.4946,3234657.733,297761.4263,3234657.733
93,0,59,67.98915289,297858.0422,3234657.733,297892.0368,3234657.733,297926.0314,3234657.733
94,0,60,28.74277092,297732.4483,3234659.733,297746.8197,3234659.733,297761.191,3234659.733
95,0,60,66.02089892,297860.8994,3234659.733,297893.9098,3234659.733,297926.9203,3234659.733
96,0,61,28.19025209,297732.5392,3234661.733,297746.6343,3234661.733,297760.7294,3234661.733
97,0,61,64.05264495,297863.7565,3234661.733,297895.7828,3234661.733,297927.8091,3234661.733
98,0,62,25.93267633,297732.6301,3234663.733,297745.5964,3234663.733,297758.5628,3234663.733
99,0,62,62.08439098,297866.6136,3234663.733,297897.6558,3234663.733,297928.698,3234663.733
100,0,63,23.67510057,297732.721,3234665.733,297744.5585,3234665.733,297756.3961,3234665.733
101,0,63,57.49321787,297869.4708,3234665.733,297898.2174,3234665.733,297926.964,3234665.733
102,0,64,21.41752481,297732.8119,3234667.733,297743.5207,3234667.733,297754.2294,3234667.733
103,0,64,51.24004645,297873.324,3234667.733,297898.944,3234667.733,297924.564,3234667.733
104,0,65,13.663944,297732.9028,3234669.733,297739.7348,3234669.733,297746.5668,3234669.733
105,0,65,41.24004645,297880.924,3234669.733,297901.544,3234669.733,297922.164,3234669.733
106,0,66,32.39074443,297887.3733,3234671.733,297903.5686,3234671.733,297919.764,3234671.733
107,0,67,27.49074443,297889.8733,3234673.733,297903.6186,3234673.733,297917.364,3234673.733
108,0,68,22.59074443,297892.3733,3234675.733,297903.6686,3234675.733,297914.964,3234675.733
109,0,69,14.08808931,297894.8733,3234677.733,297901.9173,3234677.733,297908.9613,3234677.733
110,0,70,4.921422645,297897.3733,3234679.733,297899.834,3234679.733,297902.2947,3234679.733
111,0,71,5.846645412,297747.6016,3234683.733,297750.5249,3234683.733,297753.4482,3234683.733
112,0,72,16.79902637,297747.3159,3234685.733,297755.7154,3234685.733,297764.1149,3234685.733
113,0,73,38.64537701,297747.0302,3234687.733,297766.3529,3234687.733,297785.6756,3234687.733
114,0,74,41.63089853,297746.7445,3234689.733,297767.5599,3234689.733,297788.3754,3234689.733
115,0,75,41.71661282,297746.4587,3234691.733,297767.3171,3234691.733,297788.1754,3234691.733
116,0,76,41.80232711,297746.173,3234693.733,297767.0742,3234693.733,297787.9754,3234693.733
117,0,77,38.67604857,297749.0993,3234695.733,297768.4373,3234695.733,297787.7754,3234695.733
118,0,78,35.47604857,297752.0993,3234697.733,297769.8373,3234697.733,297787.5754,3234697.733
119,0,79,32.81221128,297754.5124,3234699.733,297770.9185,3234699.733,297787.3246,3234699.733
