Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
,0,1,28,2576.519156,20
,0,1,32,2578.036806,21
,0,1,27,2578.56432,22
,0,1,26,2580.716179,23
,0,1,31,2583.908699,24
,0,1,25,2593.555055,25
,0,1,24,2596.484651,26
,0,1,23,2598.42248,27
,0,1,34,2608.903123,28
,0,1,22,2617.154398,29
,0,1,21,2619.988416,30
,0,1,20,2623.07239,31
,0,1,19,2624.573939,32
,0,1,18,2626.220011,33
,0,1,17,2644.883679,34
,0,1,16,2646.285529,35
,0,1,15,2647.90171,36
,0,1,14,2741.358488,37
,0,1,13,2743.225883,38
,0,1,12,2744.326486,39
,0,1,11,2746.549808,40
,0,1,10,2747.544971,41
,0,1,64,2828.336229,42
,0,1,63,2829.446468,43
,0,1,62,2830.667298,44
,0,1,61,2832.056485,45
,0,1,60,2833.076184,46
,0,1,59,2869.337822,47
,0,1,58,2871.122008,48
,0,1,57,2872.737916,49
,0,1,56,2874.578565,50
,0,1,55,2876.318623,51
,0,1,54,2971.92881,52
,0,1,36,3031.718888,53
,0,1,35,3034.699643,54
,0,1,53,3162.012964,55
,0,1,52,3211.508166,56
,0,1,42,3247.760545,57
,0,1,41,3273.777294,58
,0,1,40,3275.213151,59
,0,1,39,3276.802407,60
,0,1,38,3278.435428,61
,0,1,37,3280.26355,62
,0,1,45,3695.180964,63
,0,1,44,3696.616217,64
,0,1,43,3698.379922,65
,0,1,48,3949.052819,66
,0,1,47,3951.907211,67
,0,1,46,3953.038953,68
,0,1,51,4045.366401,69
,0,1,50,4046.362817,70
,0,1,49,4049.989013,71
,0,2,1,32.56521581,1
,0,2,3,89.48224793,2
,0,2,4,153.6731966,3
,0,2,0,196.2056557,4
,0,2,5,362.8211203,5
,0,2,9,377.8892768,6
,0,2,6,495.1341672,7
,0,2,8,498.8826559,8
,0,2,7,502.7973657,9
,0,2,69,1134.520123,10
,0,2,70,1143.69255,11
,0,2,71,1146.940246,12
,0,2,68,1162.768498,13
,0,2,65,1173.728323,14
,0,2,67,1297.830355,15
,0,2,66,1311.287501,16
,0,2,30,2554.250899,17
,0,2,29,2556.330908,18
,0,2,33,2557.126744,19
,0,2,28,2558.539529,20
,0,2,32,2559.409889,21
,0,2,27,2560.577877,22
,0,2,26,2562.736058,23
,0,2,31,2565.280484,24
,0,2,25,2576.578075,25
,0,2,24,2579.505801,26
,0,2,23,2581.441181,27
,0,2,34,2588.172023,28
,0,2,22,2604.129417,29
,0,2,21,2606.961784,30
,0,2,20,2610.038639,31
,0,2,19,2611.537283,32
,0,2,18,2613.180666,33
,0,2,17,2633.798671,34
,0,2,16,2635.199366,35
,0,2,15,2636.812817,36
,0,2,14,2735.706561,37
,0,2,13,2737.54825,38
,0,2,12,2738.635589,39
,0,2,11,2740.836602,40
,0,2,10,2741.815883,41
,0,2,64,2823.864652,42
,0,2,63,2824.963381,43
,0,2,62,2826.17387,44
,0,2,61,2827.553478,45
,0,2,60,2828.564061,46
,0,2,59,2866.023213,47
,0,2,58,2867.798118,48
,0,2,57,2869.403081,49
,0,2,56,2871.234424,50
,0,2,55,2872.963028,51
,0,2,54,2971.117929,52
,0,2,36,3007.675521,53
,0,2,35,3010.674465,54
,0,2,53,3162.715005,55
,0,2,52,3213.508992,56
,0,2,41,3247.201016,57
,0,2,40,3248.644293,58
,0,2,39,3250.241689,59
,0,2,42,3250.666033,60
,0,2,38,3251.880193,61
,0,2,37,3253.713916,62
,0,2,45,3666.703281,63
,0,2,44,3668.145202,64
,0,2,43,3669.913943,65
,0,2,48,3919.636945,66
,0,2,47,3922.5029,67
,0,2,46,3923.639525,68
,0,2,51,4015.653259,69
,0,2,50,4016.653875,70
,0,2,49,4020.295733,71
,0,3,4,72.35653901,1
,0,3,2,89.48224793,2
,0,3,1,121.6101905,3
,0,3,0,190.953098,4
,0,3,5,285.3591296,5
,0,3,9,290.4976525,6
,0,3,8,410.6298314,7
,0,3,7,415.3313044,8
,0,3,6,423.6924061,9
,0,3,69,1047.377477,10
,0,3,70,1056.515878,11
,0,3,71,1059.328381,12
,0,3,68,1077.249275,13
,0,3,65,1084.786501,14
,0,3,67,1211.303139,15
,0,3,66,1222.691597,16
,0,3,30,2521.694787,17
,0,3,33,2522.609657,18
,0,3,29,2523.802038,19
,0,3,32,2524.891497,20
