FID,Id,POINT_X,POINT_Y
111,0,296724.322400000000000,3235367.632640000000000
112,0,296716.322400000000000,3235369.632640000000000
113,0,296718.322400000000000,3235369.632640000000000
114,0,296720.322400000000000,3235369.632640000000000
115,0,296722.322400000000000,3235369.632640000000000
116,0,296724.322400000000000,3235369.632640000000000
117,0,296714.322400000000000,3235371.632640000000000
118,0,296716.322400000000000,3235371.632640000000000
119,0,296718.322400000000000,3235371.632640000000000
120,0,296720.322400000000000,3235371.632640000000000
121,0,296722.322400000000000,3235371.632640000000000
122,0,296712.322400000000000,3235373.632640000000000
123,0,296714.322400000000000,3235373.632640000000000
124,0,296716.322400000000000,3235373.632640000000000
125,0,296718.322400000000000,3235373.632640000000000
126,0,296720.322400000000000,3235373.632640000000000
127,0,296722.322400000000000,3235373.632640000000000
128,0,296712.322400000000000,3235375.632640000000000
129,0,296714.322400000000000,3235375.632640000000000
130,0,296716.322400000000000,3235375.632640000000000
131,0,296718.322400000000000,3235375.632640000000000
132,0,296720.322400000000000,3235375.632640000000000
133,0,296710.322400000000000,3235377.632640000000000
134,0,296712.322400000000000,3235377.632640000000000
135,0,296714.322400000000000,3235377.632640000000000
136,0,296716.322400000000000,3235377.632640000000000
137,0,296718.322400000000000,3235377.632640000000000
138,0,296720.322400000000000,3235377.632640000000000
139,0,296710.322400000000000,3235379.632640000000000
140,0,296712.322400000000000,3235379.632640000000000
141,0,296714.322400000000000,3235379.632640000000000
142,0,296716.322400000000000,3235379.632640000000000
143,0,296718.322400000000000,3235379.632640000000000
144,0,296708.322400000000000,3235381.632640000000000
145,0,296710.322400000000000,3235381.632640000000000
146,0,296712.322400000000000,3235381.632640000000000
147,0,296714.322400000000000,3235381.632640000000000
148,0,296716.322400000000000,3235381.632640000000000
149,0,296718.322400000000000,3235381.632640000000000
150,0,296708.322400000000000,3235383.632640000000000
151,0,296710.322400000000000,3235383.632640000000000
152,0,296712.322400000000000,3235383.632640000000000
153,0,296714.322400000000000,3235383.632640000000000
154,0,296716.322400000000000,3235383.632640000000000
155,0,296706.322400000000000,3235385.632640000000000
156,0,296708.322400000000000,3235385.632640000000000
157,0,296710.322400000000000,3235385.632640000000000
158,0,296712.322400000000000,3235385.632640000000000
159,0,296714.322400000000000,3235385.632640000000000
160,0,296716.322400000000000,3235385.632640000000000
161,0,296706.322400000000000,3235387.632640000000000
162,0,296708.322400000000000,3235387.632640000000000
163,0,296710.322400000000000,3235387.632640000000000
164,0,296712.322400000000000,3235387.632640000000000
165,0,296714.322400000000000,3235387.632640000000000
166,0,296704.322400000000000,3235389.632640000000000
167,0,296706.322400000000000,3235389.632640000000000
168,0,296708.322400000000000,3235389.632640000000000
169,0,296710.322400000000000,3235389.632640000000000
170,0,296712.322400000000000,3235389.632640000000000
171,0,296704.322400000000000,3235391.632640000000000
