FID,Id,POINT_X,POINT_Y,STATION
204,0,296704.3224,3235403.633,LCO22
205,0,296706.3224,3235403.633,LCO22
206,0,296696.3224,3235405.633,LCO22
207,0,296698.3224,3235405.633,LCO22
208,0,296700.3224,3235405.633,LCO22
209,0,296702.3224,3235405.633,LCO22
210,0,296704.3224,3235405.633,LCO22
211,0,296696.3224,3235407.633,LCO22
212,0,296698.3224,3235407.633,LCO22
213,0,296700.3224,3235407.633,LCO22
214,0,296702.3224,3235407.633,LCO22
215,0,296704.3224,3235407.633,LCO22
216,0,296694.3224,3235409.633,LCO22
217,0,296696.3224,3235409.633,LCO22
218,0,296698.3224,3235409.633,LCO22
219,0,296700.3224,3235409.633,LCO22
220,0,296702.3224,3235409.633,LCO22
221,0,296694.3224,3235411.633,LCO22
222,0,296696.3224,3235411.633,LCO22
223,0,296698.3224,3235411.633,LCO22
224,0,296700.3224,3235411.633,LCO22
225,0,296702.3224,3235411.633,LCO22
226,0,296692.3224,3235413.633,LCO22
227,0,296694.3224,3235413.633,LCO22
228,0,296696.3224,3235413.633,LCO22
229,0,296698.3224,3235413.633,LCO22
230,0,296700.3224,3235413.633,LCO22
231,0,296692.3224,3235415.633,LCO22
232,0,296694.3224,3235415.633,LCO22
233,0,296696.3224,3235415.633,LCO22
234,0,296698.3224,3235415.633,LCO22
235,0,296700.3224,3235415.633,LCO22
236,0,296690.3224,3235417.633,LCO22
237,0,296692.3224,3235417.633,LCO22
238,0,296694.3224,3235417.633,LCO22
239,0,296696.3224,3235417.633,LCO22
240,0,296698.3224,3235417.633,LCO22
241,0,296690.3224,3235419.633,LCO22
242,0,296692.3224,3235419.633,LCO22
243,0,296694.3224,3235419.633,LCO22
244,0,296696.3224,3235419.633,LCO22
245,0,296698.3224,3235419.633,LCO22
246,0,296688.3224,3235421.633,LCO22
247,0,296690.3224,3235421.633,LCO22
248,0,296692.3224,3235421.633,LCO22
249,0,296694.3224,3235421.633,LCO22
250,0,296696.3224,3235421.633,LCO22
251,0,296688.3224,3235423.633,LCO22
252,0,296690.3224,3235423.633,LCO22
253,0,296692.3224,3235423.633,LCO22
254,0,296694.3224,3235423.633,LCO22
255,0,296696.3224,3235423.633,LCO22
256,0,296686.3224,3235425.633,LCO22
257,0,296688.3224,3235425.633,LCO22
258,0,296690.3224,3235425.633,LCO22
259,0,296692.3224,3235425.633,LCO22
260,0,296694.3224,3235425.633,LCO22
261,0,296684.3224,3235427.633,LCO22
262,0,296686.3224,3235427.633,LCO22
