FID,point,elev_ft,transect,element,type,F8,POINT_X,POINT_Y,POINT_Z,POINT_M
22,439.000000000000000,-1.626000000000000,2.000000000000000,2.000000000000000,ROCK TOP, ,294358.102842000020000,3239276.562899999800000,-1.626000000000000,1.000000000000000
23,440.000000000000000,-1.447000000000000,2.000000000000000,2.000000000000000,ROCK TOP, ,294359.559046000010000,3239277.356120000100000,-1.447000000000000,1.000000000000000
24,441.000000000000000,-1.920000000000000,2.000000000000000,2.000000000000000,ROCK TOP, ,294358.762697000000000,3239276.766989999900000,-1.920000000000000,1.000000000000000
25,442.000000000000000,-1.743000000000000,2.000000000000000,2.000000000000000,ROCK TOP, ,294360.143732000030000,3239277.038989999800000,-1.743000000000000,1.000000000000000
26,443.000000000000000,-1.519000000000000,2.000000000000000,2.000000000000000,ROCK TOP, ,294360.556184999990000,3239277.256459999800000,-1.519000000000000,1.000000000000000
27,444.000000000000000,-1.492000000000000,2.000000000000000,2.000000000000000,ROCK TOP, ,294361.054097999990000,3239277.522590000200000,-1.492000000000000,1.000000000000000
28,445.000000000000000,-1.526000000000000,2.000000000000000,2.000000000000000,ROCK TOP, ,294361.654219000020000,3239277.478139999800000,-1.526000000000000,1.000000000000000
29,446.000000000000000,-1.277000000000000,2.000000000000000,2.000000000000000,ROCK TOP, ,294361.906765000020000,3239277.888720000200000,-1.277000000000000,1.000000000000000
30,447.000000000000000,-1.370000000000000,2.000000000000000,2.000000000000000,ROCK TOP, ,294362.786129000010000,3239278.168660000000000,-1.370000000000000,1.000000000000000
31,448.000000000000000,-2.043000000000000,2.000000000000000,2.000000000000000,GS, ,294363.319072999990000,3239278.539040000200000,-2.043000000000000,1.000000000000000
32,449.000000000000000,-2.106000000000000,2.000000000000000,2.000000000000000,GS, ,294362.357949000030000,3239279.679349999900000,-2.106000000000000,1.000000000000000
33,450.000000000000000,-1.270000000000000,2.000000000000000,2.000000000000000,ROCK TOP, ,294361.952766000000000,3239279.563630000200000,-1.270000000000000,1.000000000000000
34,451.000000000000000,-1.505000000000000,2.000000000000000,2.000000000000000,ROCK TOP, ,294361.114706000020000,3239279.301630000100000,-1.505000000000000,1.000000000000000
35,452.000000000000000,-1.539000000000000,2.000000000000000,2.000000000000000,ROCK TOP, ,294360.892377000010000,3239278.895670000000000,-1.539000000000000,1.000000000000000
36,453.000000000000000,-1.649000000000000,2.000000000000000,2.000000000000000,ROCK TOP, ,294360.695199000010000,3239278.722080000200000,-1.649000000000000,1.000000000000000
37,454.000000000000000,-2.183000000000000,3.000000000000000,2.000000000000000,GS, ,294366.352703000010000,3239273.259209999800000,-2.183000000000000,1.000000000000000
38,455.000000000000000,-1.554000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294365.990783000020000,3239273.212309999900000,-1.554000000000000,1.000000000000000
39,456.000000000000000,-1.309000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294365.546923000020000,3239273.029250000100000,-1.309000000000000,1.000000000000000
40,457.000000000000000,-1.348000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294365.057873999990000,3239272.801760000200000,-1.348000000000000,1.000000000000000
41,458.000000000000000,-1.580000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294364.468362000010000,3239272.767769999800000,-1.580000000000000,1.000000000000000
42,459.000000000000000,-1.745000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294363.957959000020000,3239272.467000000200000,-1.745000000000000,1.000000000000000
43,460.000000000000000,-1.799000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294363.599312999980000,3239272.267969999900000,-1.799000000000000,1.000000000000000
44,461.000000000000000,-1.668000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294363.112166000010000,3239272.013330000000000,-1.668000000000000,1.000000000000000
45,462.000000000000000,-1.801000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294362.603836000020000,3239272.098150000000000,-1.801000000000000,1.000000000000000
46,463.000000000000000,-1.772000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294361.798776999990000,3239271.916939999900000,-1.772000000000000,1.000000000000000
47,464.000000000000000,-1.748000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294362.082750000000000,3239271.010110000100000,-1.748000000000000,1.000000000000000
48,465.000000000000000,-1.710000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294361.630945999990000,3239270.860640000100000,-1.710000000000000,1.000000000000000
49,466.000000000000000,-1.946000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294361.148325000020000,3239270.850440000200000,-1.946000000000000,1.000000000000000
50,467.000000000000000,-1.565000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294360.717582000010000,3239270.561480000100000,-1.565000000000000,1.000000000000000
51,468.000000000000000,-1.698000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294360.160212000020000,3239270.543380000200000,-1.698000000000000,1.000000000000000
52,469.000000000000000,-1.832000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294359.557796999990000,3239270.105010000100000,-1.832000000000000,1.000000000000000
53,470.000000000000000,-1.893000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294359.272391000010000,3239269.987040000000000,-1.893000000000000,1.000000000000000
54,471.000000000000000,-1.563000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294358.768260999990000,3239269.421329999800000,-1.563000000000000,1.000000000000000
55,472.000000000000000,-1.840000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294358.245273999990000,3239269.645870000100000,-1.840000000000000,1.000000000000000
56,473.000000000000000,-1.759000000000000,3.000000000000000,2.000000000000000,ROCK TOP, ,294358.203396999980000,3239268.739690000200000,-1.759000000000000,1.000000000000000
57,474.000000000000000,-2.844000000000000,3.000000000000000,2.000000000000000,GS, ,294357.951034999980000,3239268.743369999800000,-2.844000000000000,1.000000000000000
58,475.000000000000000,-1.819000000000000,4.000000000000000,2.000000000000000,GS, ,294373.238572000000000,3239244.795529999800000,-1.819000000000000,1.000000000000000
59,476.000000000000000,-1.094000000000000,4.000000000000000,2.000000000000000,ROCK TOP, ,294373.906291000020000,3239245.528109999800000,-1.094000000000000,1.000000000000000
60,477.000000000000000,-0.907000000000000,4.000000000000000,2.000000000000000,ROCK TOP, ,294375.823541000020000,3239245.732429999900000,-0.907000000000000,1.000000000000000
61,478.000000000000000,-0.822000000000000,4.000000000000000,2.000000000000000,ROCK TOP, ,294376.783566000000000,3239246.248530000000000,-0.822000000000000,1.000000000000000
62,479.000000000000000,-1.246000000000000,4.000000000000000,2.000000000000000,ROCK TOP, ,294379.771466000010000,3239247.715739999900000,-1.246000000000000,1.000000000000000
63,480.000000000000000,-1.615000000000000,4.000000000000000,2.000000000000000,GS, ,294373.701547999980000,3239244.825410000000000,-1.615000000000000,1.000000000000000
64,481.000000000000000,-1.483000000000000,4.000000000000000,2.000000000000000,ROCK TOP, ,294375.329948999980000,3239245.222720000000000,-1.483000000000000,1.000000000000000
65,482.000000000000000,-1.541000000000000,4.000000000000000,2.000000000000000,ROCK TOP, ,294377.088784000020000,3239245.830759999800000,-1.541000000000000,1.000000000000000
66,483.000000000000000,-1.625000000000000,4.000000000000000,2.000000000000000,ROCK TOP, ,294378.860937000020000,3239246.784659999900000,-1.625000000000000,1.000000000000000
67,484.000000000000000,-1.572000000000000,4.000000000000000,2.000000000000000,ROCK TOP, ,294379.952438000010000,3239247.312130000000000,-1.572000000000000,1.000000000000000
68,485.000000000000000,-1.608000000000000,4.000000000000000,2.000000000000000,ROCK TOP, ,294381.284920000010000,3239247.609850000100000,-1.608000000000000,1.000000000000000
69,486.000000000000000,-1.580000000000000,4.000000000000000,2.000000000000000,GS, ,294381.968543000000000,3239248.455680000100000,-1.580000000000000,1.000000000000000
70,487.000000000000000,-1.167000000000000,4.000000000000000,2.000000000000000,ROCK TOP, ,294380.709322999990000,3239247.813200000200000,-1.167000000000000,1.000000000000000
71,488.000000000000000,-1.829000000000000,5.000000000000000,2.000000000000000,GS, ,294383.262200000000000,3239244.170109999800000,-1.829000000000000,1.000000000000000
