FID,Shape,Id,POINT_X,POINT_Y,STATION
43204,Point,0,298477.4375,3237710.734,NNI2
43205,Point,0,298479.4375,3237710.734,NNI2
43206,Point,0,298481.4375,3237710.734,NNI2
43207,Point,0,298483.4375,3237710.734,NNI2
43208,Point,0,298485.4375,3237710.734,NNI2
43215,Point,0,298461.4375,3237712.734,NNI2
43216,Point,0,298463.4375,3237712.734,NNI2
43217,Point,0,298465.4375,3237712.734,NNI2
43218,Point,0,298467.4375,3237712.734,NNI2
43219,Point,0,298469.4375,3237712.734,NNI2
43220,Point,0,298471.4375,3237712.734,NNI2
43221,Point,0,298473.4375,3237712.734,NNI2
43222,Point,0,298475.4375,3237712.734,NNI2
43223,Point,0,298477.4375,3237712.734,NNI2
43224,Point,0,298479.4375,3237712.734,NNI2
43225,Point,0,298481.4375,3237712.734,NNI2
43226,Point,0,298483.4375,3237712.734,NNI2
43227,Point,0,298485.4375,3237712.734,NNI2
43233,Point,0,298461.4375,3237714.734,NNI2
43234,Point,0,298463.4375,3237714.734,NNI2
43235,Point,0,298465.4375,3237714.734,NNI2
43236,Point,0,298467.4375,3237714.734,NNI2
43237,Point,0,298469.4375,3237714.734,NNI2
43238,Point,0,298471.4375,3237714.734,NNI2
43239,Point,0,298473.4375,3237714.734,NNI2
43240,Point,0,298475.4375,3237714.734,NNI2
43241,Point,0,298477.4375,3237714.734,NNI2
43242,Point,0,298479.4375,3237714.734,NNI2
43243,Point,0,298481.4375,3237714.734,NNI2
43244,Point,0,298483.4375,3237714.734,NNI2
43245,Point,0,298485.4375,3237714.734,NNI2
43251,Point,0,298463.4375,3237716.734,NNI2
43252,Point,0,298465.4375,3237716.734,NNI2
43253,Point,0,298467.4375,3237716.734,NNI2
43254,Point,0,298469.4375,3237716.734,NNI2
43255,Point,0,298471.4375,3237716.734,NNI2
43256,Point,0,298473.4375,3237716.734,NNI2
43257,Point,0,298475.4375,3237716.734,NNI2
43258,Point,0,298477.4375,3237716.734,NNI2
43259,Point,0,298479.4375,3237716.734,NNI2
43260,Point,0,298481.4375,3237716.734,NNI2
43261,Point,0,298483.4375,3237716.734,NNI2
43262,Point,0,298485.4375,3237716.734,NNI2
43268,Point,0,298463.4375,3237718.734,NNI2
43269,Point,0,298465.4375,3237718.734,NNI2
43270,Point,0,298467.4375,3237718.734,NNI2
43271,Point,0,298469.4375,3237718.734,NNI2
43272,Point,0,298471.4375,3237718.734,NNI2
43273,Point,0,298473.4375,3237718.734,NNI2
43274,Point,0,298475.4375,3237718.734,NNI2
43275,Point,0,298477.4375,3237718.734,NNI2
43276,Point,0,298479.4375,3237718.734,NNI2
