FID,Id,station,POINT_X,POINT_Y
56,0,LCN10,297743.4375,3234636.733
57,0,LCN10,297745.4375,3234636.733
58,0,LCN10,297747.4375,3234636.733
59,0,LCN10,297749.4375,3234636.733
60,0,LCN10,297751.4375,3234636.733
61,0,LCN10,297753.4375,3234636.733
62,0,LCN10,297755.4375,3234636.733
63,0,LCN10,297757.4375,3234636.733
64,0,LCN10,297759.4375,3234636.733
65,0,LCN10,297761.4375,3234636.733
66,0,LCN10,297741.4375,3234638.733
67,0,LCN10,297743.4375,3234638.733
68,0,LCN10,297745.4375,3234638.733
69,0,LCN10,297747.4375,3234638.733
70,0,LCN10,297749.4375,3234638.733
71,0,LCN10,297751.4375,3234638.733
72,0,LCN10,297753.4375,3234638.733
73,0,LCN10,297755.4375,3234638.733
74,0,LCN10,297757.4375,3234638.733
75,0,LCN10,297759.4375,3234638.733
76,0,LCN10,297761.4375,3234638.733
77,0,LCN10,297763.4375,3234638.733
78,0,LCN10,297741.4375,3234640.733
79,0,LCN10,297743.4375,3234640.733
80,0,LCN10,297745.4375,3234640.733
81,0,LCN10,297747.4375,3234640.733
82,0,LCN10,297749.4375,3234640.733
83,0,LCN10,297751.4375,3234640.733
84,0,LCN10,297753.4375,3234640.733
85,0,LCN10,297755.4375,3234640.733
86,0,LCN10,297757.4375,3234640.733
87,0,LCN10,297759.4375,3234640.733
88,0,LCN10,297761.4375,3234640.733
89,0,LCN10,297741.4375,3234642.733
90,0,LCN10,297743.4375,3234642.733
91,0,LCN10,297745.4375,3234642.733
92,0,LCN10,297747.4375,3234642.733
93,0,LCN10,297749.4375,3234642.733
94,0,LCN10,297751.4375,3234642.733
95,0,LCN10,297753.4375,3234642.733
96,0,LCN10,297755.4375,3234642.733
97,0,LCN10,297757.4375,3234642.733
98,0,LCN10,297759.4375,3234642.733
99,0,LCN10,297761.4375,3234642.733
100,0,LCN10,297739.4375,3234644.733
101,0,LCN10,297741.4375,3234644.733
102,0,LCN10,297743.4375,3234644.733
103,0,LCN10,297745.4375,3234644.733
104,0,LCN10,297747.4375,3234644.733
105,0,LCN10,297749.4375,3234644.733
106,0,LCN10,297751.4375,3234644.733
107,0,LCN10,297753.4375,3234644.733
108,0,LCN10,297755.4375,3234644.733
109,0,LCN10,297757.4375,3234644.733
110,0,LCN10,297759.4375,3234644.733
111,0,LCN10,297761.4375,3234644.733
112,0,LCN10,297737.4375,3234646.733
113,0,LCN10,297739.4375,3234646.733
114,0,LCN10,297741.4375,3234646.733
115,0,LCN10,297743.4375,3234646.733
116,0,LCN10,297745.4375,3234646.733
117,0,LCN10,297747.4375,3234646.733
118,0,LCN10,297749.4375,3234646.733
119,0,LCN10,297751.4375,3234646.733
120,0,LCN10,297753.4375,3234646.733
121,0,LCN10,297755.4375,3234646.733
122,0,LCN10,297757.4375,3234646.733
123,0,LCN10,297759.4375,3234646.733
124,0,LCN10,297761.4375,3234646.733
125,0,LCN10,297737.4375,3234648.733
126,0,LCN10,297739.4375,3234648.733
127,0,LCN10,297741.4375,3234648.733
128,0,LCN10,297743.4375,3234648.733
129,0,LCN10,297745.4375,3234648.733
130,0,LCN10,297747.4375,3234648.733
131,0,LCN10,297749.4375,3234648.733
132,0,LCN10,297751.4375,3234648.733
133,0,LCN10,297753.4375,3234648.733
134,0,LCN10,297755.4375,3234648.733
135,0,LCN10,297757.4375,3234648.733
136,0,LCN10,297759.4375,3234648.733
137,0,LCN10,297761.4375,3234648.733
138,0,LCN10,297735.4375,3234650.733
139,0,LCN10,297737.4375,3234650.733
140,0,LCN10,297739.4375,3234650.733
141,0,LCN10,297741.4375,3234650.733
142,0,LCN10,297743.4375,3234650.733
143,0,LCN10,297745.4375,3234650.733
144,0,LCN10,297747.4375,3234650.733
145,0,LCN10,297749.4375,3234650.733
146,0,LCN10,297751.4375,3234650.733
147,0,LCN10,297753.4375,3234650.733
148,0,LCN10,297755.4375,3234650.733
149,0,LCN10,297757.4375,3234650.733
150,0,LCN10,297759.4375,3234650.733
151,0,LCN10,297761.4375,3234650.733
152,0,LCN10,297735.4375,3234652.733
153,0,LCN10,297737.4375,3234652.733
154,0,LCN10,297739.4375,3234652.733
155,0,LCN10,297741.4375,3234652.733
156,0,LCN10,297743.4375,3234652.733
157,0,LCN10,297745.4375,3234652.733
158,0,LCN10,297747.4375,3234652.733
159,0,LCN10,297749.4375,3234652.733
160,0,LCN10,297751.4375,3234652.733
161,0,LCN10,297753.4375,3234652.733
162,0,LCN10,297755.4375,3234652.733
163,0,LCN10,297757.4375,3234652.733
164,0,LCN10,297759.4375,3234652.733
165,0,LCN10,297761.4375,3234652.733
166,0,LCN10,297733.4375,3234654.733
167,0,LCN10,297735.4375,3234654.733
168,0,LCN10,297737.4375,3234654.733
169,0,LCN10,297739.4375,3234654.733
170,0,LCN10,297741.4375,3234654.733
171,0,LCN10,297743.4375,3234654.733
172,0,LCN10,297745.4375,3234654.733
173,0,LCN10,297747.4375,3234654.733
174,0,LCN10,297749.4375,3234654.733
175,0,LCN10,297751.4375,3234654.733
