"","point","bar","station","date","POINT_X","POINT_Y","locality","site","elev_m"
"3587","PC599",NA,NA,"9/5/2017 0:00",295054.5031,3238527.208,"LC","O",-0.844296
"3588","PC6",NA,NA,"9/5/2017 0:00",294341.2601,3239286.15,"LC","O",-0.539496
"3589","PC60",NA,NA,"9/5/2017 0:00",294326.1883,3239283.142,"LC","O",-1.12776
"3590","PC600",NA,NA,"9/5/2017 0:00",295059.3669,3238531.001,"LC","O",-0.768096
"3591","PC601",NA,NA,"9/5/2017 0:00",295065.1877,3238533.698,"LC","O",-0.524256
"3592","PC602",NA,NA,"9/5/2017 0:00",295069.9096,3238537.648,"LC","O",-0.509016
"3593","PC603",NA,NA,"9/5/2017 0:00",295073.8887,3238542.793,"LC","O",-0.515112
"3594","PC605",NA,NA,"9/5/2017 0:00",295085.017,3238548.053,"LC","O",-0.48768
"3595","PC606",NA,NA,"9/5/2017 0:00",295090.9872,3238550.057,"LC","O",-1.374648
"3596","PC607",NA,NA,"9/5/2017 0:00",295095.3995,3238553.086,"LC","O",-1.368552
"3597","PC608",NA,NA,"9/5/2017 0:00",295118.5714,3238526.228,"LC","O",-1.456944
"3598","PC609",NA,NA,"9/5/2017 0:00",295115.2327,3238518.618,"LC","O",-1.911096
"3599","PC61",NA,NA,"9/5/2017 0:00",294321.6379,3239278.923,"LC","O",-1.124712
"3600","PC610",NA,NA,"9/5/2017 0:00",295109.7609,3238515.735,"LC","O",-2.075688
"3601","PC611",NA,NA,"9/5/2017 0:00",295103.6471,3238514.422,"LC","O",-1.414272
"3602","PC612",NA,NA,"9/5/2017 0:00",295099.7219,3238514.163,"LC","O",-0.649224
"3603","PC613",NA,NA,"9/5/2017 0:00",295097.2583,3238513.73,"LC","O",-0.582168
"3604","PC615",NA,NA,"9/5/2017 0:00",295086.4005,3238508.018,"LC","O",-0.59436
"3605","PC616",NA,NA,"9/5/2017 0:00",295080.2533,3238506.708,"LC","O",-0.606552
"3606","PC617",NA,NA,"9/5/2017 0:00",295074.2612,3238505.01,"LC","O",-0.637032
"3607","PC618",NA,NA,"9/5/2017 0:00",295068.8253,3238502.042,"LC","O",-0.704088
"3608","PC619",NA,NA,"9/5/2017 0:00",295063.0613,3238499.92,"LC","O",-0.82296
"3609","PC62",NA,NA,"9/5/2017 0:00",294316.9511,3239274.445,"LC","O",-1.164336
"3610","PC620",NA,NA,"9/5/2017 0:00",295057.3215,3238497.781,"LC","O",-0.877824
"3611","PC621",NA,NA,"9/5/2017 0:00",295051.6648,3238495.375,"LC","O",-0.941832
"3612","PC622",NA,NA,"9/5/2017 0:00",295045.2957,3238493.43,"LC","O",-1.011936
"3613","PC623",NA,NA,"9/5/2017 0:00",295039.6965,3238490.978,"LC","O",-1.088136
"3614","PC624",NA,NA,"9/5/2017 0:00",295055.0238,3238455,"LC","O",-1.109472
"3615","PC625",NA,NA,"9/5/2017 0:00",295062.3409,3238455.16,"LC","O",-1.054608
"3616","PC626",NA,NA,"9/5/2017 0:00",295066.885,3238459.353,"LC","O",-0.993648
"3617","PC627",NA,NA,"9/5/2017 0:00",295071.8897,3238462.87,"LC","O",-0.94488
"3618","PC628",NA,NA,"9/5/2017 0:00",295076.407,3238467.139,"LC","O",-0.893064
"3619","PC629",NA,NA,"9/5/2017 0:00",295081.7701,3238470.144,"LC","O",-0.856488
"3620","PC63",NA,NA,"9/5/2017 0:00",294324.33,3239244.348,"LC","O",-1.17348
"3621","PC630",NA,NA,"9/5/2017 0:00",295086.1665,3238474.533,"LC","O",-0.79248
"3622","PC631",NA,NA,"9/5/2017 0:00",295091.6953,3238477.308,"LC","O",-0.585216
"3623","PC632",NA,NA,"9/5/2017 0:00",295095.8389,3238482.077,"LC","O",-0.591312
"3624","PC635",NA,NA,"9/5/2017 0:00",295112.0335,3238490.937,"LC","O",-0.554736
"3625","PC636",NA,NA,"9/5/2017 0:00",295116.8513,3238494.697,"LC","O",-0.795528
"3626","PC637",NA,NA,"9/5/2017 0:00",295121.0014,3238499.511,"LC","O",-2.014728
"3627","PC638",NA,NA,"9/6/2017 0:00",295437.0582,3238125.501,"LC","O",-1.496568
"3628","PC639",NA,NA,"9/6/2017 0:00",295433.0493,3238120.798,"LC","O",-1.496568
"3629","PC64",NA,NA,"9/5/2017 0:00",294328.5074,3239249.15,"LC","O",-1.222248
"3630","PC640",NA,NA,"9/6/2017 0:00",295429.0372,3238116.08,"LC","O",-1.524
"3631","PC641",NA,NA,"9/6/2017 0:00",295424.1885,3238112.269,"LC","O",-1.545336
"3632","PC642",NA,NA,"9/6/2017 0:00",295420.0252,3238107.701,"LC","O",-1.322832
"3633","PC643",NA,NA,"9/6/2017 0:00",295415.6872,3238103.367,"LC","O",-0.704088
"3634","PC644",NA,NA,"9/6/2017 0:00",295409.2809,3238101.349,"LC","O",-0.646176
"3635","PC645",NA,NA,"9/6/2017 0:00",295404.9219,3238097.055,"LC","O",-0.633984
"3636","PC647",NA,NA,"9/6/2017 0:00",295397.4684,3238086.989,"LC","O",-0.603504
"3637","PC648",NA,NA,"9/6/2017 0:00",295391.3126,3238084.676,"LC","O",-0.615696
"3638","PC649",NA,NA,"9/6/2017 0:00",295386.6756,3238080.668,"LC","O",-0.652272
"3639","PC65",NA,NA,"9/5/2017 0:00",294333.2476,3239253.106,"LC","O",-1.100328
"3640","PC650",NA,NA,"9/6/2017 0:00",295383.4397,3238075.105,"LC","O",-0.652272
"3641","PC651",NA,NA,"9/6/2017 0:00",295379.9537,3238069.88,"LC","O",-0.676656
"3642","PC652",NA,NA,"9/6/2017 0:00",295375.5193,3238065.69,"LC","O",-0.713232
"3643","PC653",NA,NA,"9/6/2017 0:00",295397.0595,3238056.578,"LC","O",-0.71628
"3644","PC654",NA,NA,"9/6/2017 0:00",295404.0253,3238058.076,"LC","O",-0.697992
"3645","PC655",NA,NA,"9/6/2017 0:00",295410.5503,3238060.075,"LC","O",-0.673608
"3646","PC656",NA,NA,"9/6/2017 0:00",295414.2779,3238065.036,"LC","O",-0.64008
"3647","PC659",NA,NA,"9/6/2017 0:00",295428.4456,3238076.763,"LC","O",-0.606552
"3648","PC66",NA,NA,"9/5/2017 0:00",294338.3854,3239256.5,"LC","O",-1.08204
"3649","PC660",NA,NA,"9/6/2017 0:00",295433.8223,3238079.945,"LC","O",-0.585216
"3650","PC661",NA,NA,"9/6/2017 0:00",295438.0547,3238084.402,"LC","O",-0.618744
"3651","PC662",NA,NA,"9/6/2017 0:00",295441.1278,3238090.177,"LC","O",-1.09728
