FID,point,depth_ft,date,POINT_X,POINT_Y
229,PC230,-2.73,9/5/2017 0:00,294539.4,3239001.851
230,PC231,-2.64,9/5/2017 0:00,294543.3079,3239006.857
231,PC232,-2.35,9/5/2017 0:00,294544.9679,3239012.781
232,PC233,-2.35,9/5/2017 0:00,294543.9538,3239020.035
233,PC234,-2.27,9/5/2017 0:00,294548.5693,3239024.739
234,PC235,-2.29,9/5/2017 0:00,294552.0945,3239029.9
235,PC236,-2.85,9/5/2017 0:00,294554.311,3239036.023
236,PC237,-4.5,9/5/2017 0:00,294556.3205,3239041.819
237,PC238,-4.46,9/5/2017 0:00,294557.7623,3239047.894
238,PC239,-5.83,9/5/2017 0:00,294581.8496,3239027.923
239,PC240,-4.64,9/5/2017 0:00,294578.9685,3239022.147
240,PC241,-2.86,9/5/2017 0:00,294574.4704,3239017.994
241,PC242,-2.48,9/5/2017 0:00,294568.345,3239015.309
242,PC243,-2.39,9/5/2017 0:00,294564.2188,3239010.8
243,PC244,-2.66,9/5/2017 0:00,294560.467,3239005.866
244,PC245,-2.7,9/5/2017 0:00,294555.4663,3239002.111
245,PC246,-2.82,9/5/2017 0:00,294550.5753,3238998.345
246,PC247,-3.03,9/5/2017 0:00,294546.5819,3238993.679
247,PC248,-3.08,9/5/2017 0:00,294543.0422,3238988.588
248,PC249,-3.18,9/5/2017 0:00,294539.2726,3238983.713
249,PC250,-3.3,9/5/2017 0:00,294535.0917,3238979.225
250,PC251,-3.92,9/5/2017 0:00,294531.3465,3238974.349
251,PC252,-4.52,9/5/2017 0:00,294527.7581,3238969.271
252,PC253,-4.74,9/5/2017 0:00,294523.5432,3238964.731
253,PC254,-4.86,9/5/2017 0:00,294530.1524,3238957.304
254,PC255,-4.73,9/5/2017 0:00,294535.04,3238961.03
255,PC256,-4.48,9/5/2017 0:00,294538.7184,3238966.294
256,PC257,-4.04,9/5/2017 0:00,294543.223,3238970.492
257,PC258,-3.16,9/5/2017 0:00,294547.655,3238974.768
258,PC259,-2.93,9/5/2017 0:00,294552.9281,3238977.939
259,PC260,-2.98,9/5/2017 0:00,294556.6004,3238983.205
260,PC261,-2.72,9/5/2017 0:00,294561.9848,3238986.207
261,PC262,-2.69,9/5/2017 0:00,294567.5893,3238988.915
262,PC263,-2.64,9/5/2017 0:00,294572.7675,3238992.763
263,PC264,-2.62,9/5/2017 0:00,294577.1724,3238997.073
264,PC265,-2.69,9/5/2017 0:00,294581.1253,3239001.995
265,PC266,-4.41,9/5/2017 0:00,294585.9617,3239005.795
266,PC267,-5.43,9/5/2017 0:00,294590.7348,3239009.668
267,PC268,-4.95,9/5/2017 0:00,294611.5996,3238989.634
268,PC269,-5.24,9/5/2017 0:00,294608.8657,3238986.819
269,PC270,-4.44,9/5/2017 0:00,294606.7797,3238985.276
270,PC271,-2.84,9/5/2017 0:00,294603.282,3238980.121
271,PC272,-2.64,9/5/2017 0:00,294601.1452,3238973.689
272,PC273,-2.63,9/5/2017 0:00,294597.0605,3238969.042
273,PC274,-2.65,9/5/2017 0:00,294592.6557,3238964.745
274,PC275,-2.55,9/5/2017 0:00,294588.7709,3238959.941
275,PC276,-2.72,9/5/2017 0:00,294584.626,3238955.376
276,PC277,-2.87,9/5/2017 0:00,294579.5406,3238951.698
277,PC278,-3.09,9/5/2017 0:00,294574.7305,3238947.764
278,PC279,-4.31,9/5/2017 0:00,294570.7311,3238943.113
279,PC280,-4.43,9/5/2017 0:00,294566.2997,3238938.908
280,PC281,-4.85,9/5/2017 0:00,294561.4169,3238935.038
281,PC282,-4.84,9/5/2017 0:00,294557.1359,3238930.6
282,PC283,-4.78,9/5/2017 0:00,294564.6008,3238928.787
283,PC284,-4.54,9/5/2017 0:00,294569.4984,3238932.607
284,PC285,-4.07,9/5/2017 0:00,294576.773,3238932.079
285,PC286,-3.1,9/5/2017 0:00,294583.1741,3238933.127
286,PC287,-3,9/5/2017 0:00,294587.4834,3238938.026
287,PC288,-2.95,9/5/2017 0:00,294592.4923,3238941.671
288,PC289,-2.79,9/5/2017 0:00,294598.4106,3238943.657
289,PC290,-2.7,9/5/2017 0:00,294603.0886,3238947.824
290,PC291,-2.61,9/5/2017 0:00,294609.1493,3238949.698
291,PC292,-2.59,9/5/2017 0:00,294614.68,3238952.349
292,PC293,-2.6,9/5/2017 0:00,294619.7904,3238955.747
293,PC294,-2.8,9/5/2017 0:00,294624.7863,3238960.368
294,PC295,-2.9,9/5/2017 0:00,294630.2785,3238963.15
295,PC296,-3.73,9/5/2017 0:00,294635.8483,3238965.73
296,PC297,-4.65,9/5/2017 0:00,294641.3239,3238968.701
297,PC298,-4.5,9/5/2017 0:00,294648.1604,3238968.972
298,PC299,-5.33,9/5/2017 0:00,294713.1192,3238954.112
299,PC300,-5.57,9/5/2017 0:00,294707.0947,3238952.194
300,PC301,-5.02,9/5/2017 0:00,294700.9758,3238952.063
301,PC302,-3.6,9/5/2017 0:00,294694.6292,3238954.172
302,PC303,-2.73,9/5/2017 0:00,294688.4609,3238953.969
303,PC304,-2.63,9/5/2017 0:00,294682.5297,3238951.55
304,PC305,-2.91,9/5/2017 0:00,294676.3622,3238951.438
305,PC306,-3.3,9/5/2017 0:00,294670.0445,3238953.016
306,PC307,-3.45,9/5/2017 0:00,294663.9948,3238952.065
307,PC308,-3.82,9/5/2017 0:00,294658.0454,3238950.003
308,PC309,-4.17,9/5/2017 0:00,294651.8872,3238950.269
309,PC310,-4.14,9/5/2017 0:00,294645.6519,3238951.499
310,PC311,-2.99,9/5/2017 0:00,294639.5075,3238950.881
311,PC312,-2.68,9/5/2017 0:00,294633.4836,3238949.741
312,PC313,-2.53,9/5/2017 0:00,294627.3778,3238949.36
313,PC314,-2.52,9/5/2017 0:00,294621.1869,3238949.37
314,PC315,-2.61,9/5/2017 0:00,294615.1567,3238948.205
315,PC316,-2.55,9/5/2017 0:00,294609.0188,3238947.624
316,PC317,-2.58,9/5/2017 0:00,294602.8451,3238947.509
317,PC318,-2.85,9/5/2017 0:00,294596.9102,3238945.011
318,PC319,-2.89,9/5/2017 0:00,294590.1489,3238942.822
319,PC320,-3.01,9/5/2017 0:00,294583.9713,3238943.317
320,PC321,-2.99,9/5/2017 0:00,294577.8316,3238943.244
321,PC322,-3.96,9/5/2017 0:00,294571.6217,3238944.242
322,PC323,-4.33,9/5/2017 0:00,294565.1803,3238947.391
323,PC324,-4.56,9/5/2017 0:00,294559.0426,3238946.852
324,PC325,-4.97,9/5/2017 0:00,294558.0082,3238913.87
325,PC326,-4.92,9/5/2017 0:00,294564.2398,3238915.42
326,PC327,-4.76,9/5/2017 0:00,294570.2194,3238917.451
327,PC328,-4.64,9/5/2017 0:00,294576.4541,3238916.499
328,PC329,-4.32,9/5/2017 0:00,294582.558,3238917.373
329,PC330,-3.92,9/5/2017 0:00,294588.665,3238917.547
330,PC331,-3.09,9/5/2017 0:00,294594.9071,3238916.387
331,PC332,-2.78,9/5/2017 0:00,294601.0196,3238917.207
332,PC333,-2.64,9/5/2017 0:00,294607.1386,3238917.346
333,PC334,-2.63,9/5/2017 0:00,294613.1888,3238919.072
334,PC335,-2.51,9/5/2017 0:00,294619.2707,3238920.224
335,PC336,-2.67,9/5/2017 0:00,294625.43,3238920.083
336,PC337,-2.67,9/5/2017 0:00,294631.3201,3238923.051
337,PC338,-2.95,9/5/2017 0:00,294637.573,3238921.741
338,PC339,-3.36,9/5/2017 0:00,294643.8311,3238919.966
339,PC340,-4.86,9/5/2017 0:00,294650.1196,3238921.037
340,PC341,-4.52,9/5/2017 0:00,294656.1342,3238922.513
341,PC342,-3.76,9/5/2017 0:00,294662.1243,3238925.052
342,PC343,-2.73,9/5/2017 0:00,294668.3104,3238924.487
343,PC344,-2.29,9/5/2017 0:00,294674.3896,3238925.679
344,PC345,-2.26,9/5/2017 0:00,294680.5606,3238925.849
345,PC346,-2.12,9/5/2017 0:00,294686.7338,3238925.202
346,PC347,-2.27,9/5/2017 0:00,294692.8325,3238926.177
347,PC348,-2.37,9/5/2017 0:00,294699.1454,3238924.038
348,PC349,-3.19,9/5/2017 0:00,294705.1036,3238926.408
349,PC350,-4.53,9/5/2017 0:00,294711.129,3238927.728
350,PC351,-5.76,9/5/2017 0:00,294717.219,3238928.761
351,PC352,-5.52,9/5/2017 0:00,294727.7548,3238888.901
352,PC353,-6.01,9/5/2017 0:00,294717.596,3238895.438
353,PC354,-6.35,9/5/2017 0:00,294711.5717,3238893.535
354,PC355,-6.7,9/5/2017 0:00,294705.4508,3238892.81
355,PC356,-4.83,9/5/2017 0:00,294699.2406,3238893.409
356,PC357,-2.45,9/5/2017 0:00,294693.1007,3238893.672
357,PC358,-2.43,9/5/2017 0:00,294687.0267,3238892.382
358,PC359,-2.36,9/5/2017 0:00,294680.9591,3238891.117
359,PC360,-2.53,9/5/2017 0:00,294674.7077,3238891.893
360,PC361,-2.61,9/5/2017 0:00,294668.5135,3238892.94
361,PC362,-3.34,9/5/2017 0:00,294662.389,3238892.154
362,PC363,-4.26,9/5/2017 0:00,294656.2523,3238891.359
363,PC364,-5.88,9/5/2017 0:00,294650.0216,3238892.055
364,PC365,-5.24,9/5/2017 0:00,294643.9226,3238891.76
365,PC366,-4.18,9/5/2017 0:00,294637.9194,3238889.83
366,PC367,-3.62,9/5/2017 0:00,294631.9434,3238887.518
367,PC368,-3.3,9/5/2017 0:00,294625.8455,3238886.985
368,PC369,-3.32,9/5/2017 0:00,294619.6661,3238887.272
369,PC370,-3.56,9/5/2017 0:00,294613.509,3238887.304
370,PC371,-4.17,9/5/2017 0:00,294607.3177,3238887.268
371,PC372,-4.32,9/5/2017 0:00,294601.0025,3238888.776
372,PC373,-4.53,9/5/2017 0:00,294594.7791,3238889.969
373,PC374,-4.66,9/5/2017 0:00,294588.7494,3238888.155
374,PC375,-4.61,9/5/2017 0:00,294574.0764,3238841.155
375,PC376,-4.58,9/5/2017 0:00,294580.2684,3238841.995
376,PC377,-4.7,9/5/2017 0:00,294585.9877,3238844.226
377,PC378,-4.58,9/5/2017 0:00,294591.6306,3238846.809
378,PC379,-4.66,9/5/2017 0:00,294597.0257,3238849.991
379,PC380,-4.64,9/5/2017 0:00,294603.1694,3238850.877
380,PC381,-4.49,9/5/2017 0:00,294609.6002,3238851.484
381,PC382,-4.41,9/5/2017 0:00,294616.0787,3238853.388
382,PC383,-4.53,9/5/2017 0:00,294621.7419,3238855.837
383,PC384,-4.47,9/5/2017 0:00,294627.4819,3238858.01
384,PC385,-4.1,9/5/2017 0:00,294633.8014,3238858.422
385,PC386,-4.09,9/5/2017 0:00,294639.7972,3238859.843
386,PC387,-3.79,9/5/2017 0:00,294645.2585,3238862.93
387,PC388,-3.69,9/5/2017 0:00,294651.0499,3238865.051
388,PC389,-3.31,9/5/2017 0:00,294657.3695,3238866.189
389,PC390,-3.11,9/5/2017 0:00,294663.183,3238868.045
390,PC391,-2.97,9/5/2017 0:00,294668.5763,3238871.37
391,PC392,-2.61,9/5/2017 0:00,294674.6434,3238872.571
392,PC393,-2.11,9/5/2017 0:00,294680.0348,3238876.033
393,PC394,-1.81,9/5/2017 0:00,294686.2701,3238876.59
394,PC395,-1.85,9/5/2017 0:00,294683.566,3238869.413
395,PC396,-2.12,9/5/2017 0:00,294680.6687,3238877.811
396,PC397,-1.89,9/5/2017 0:00,294686.8569,3238878.554
397,PC398,-1.73,9/5/2017 0:00,294692.8574,3238879.813
398,PC399,-3.96,9/5/2017 0:00,294698.2612,3238882.947
399,PC400,-6.88,9/5/2017 0:00,294704.4826,3238883.656
400,PC401,-6.52,9/5/2017 0:00,294710.4861,3238884.915
401,PC402,-6.29,9/5/2017 0:00,294723.455,3238871.904
402,PC403,-6.59,9/5/2017 0:00,294721.142,3238869.12
403,PC404,-5.3,9/5/2017 0:00,294718.9431,3238867.562
404,PC405,-3.4,9/5/2017 0:00,294713.4656,3238864.723
405,PC406,-2.59,9/5/2017 0:00,294709.3971,3238859.825
406,PC407,-2.48,9/5/2017 0:00,294705.5183,3238854.652
407,PC408,-2.28,9/5/2017 0:00,294700.4952,3238851.125
408,PC409,-2.34,9/5/2017 0:00,294694.4084,3238849.044
409,PC410,-2.88,9/5/2017 0:00,294688.5116,3238846.719
410,PC411,-3.33,9/5/2017 0:00,294682.2631,3238844.261
